codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-02 11:10:35,1,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-09 15:44:02,5,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-12 22:24:50,5,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-13 19:37:53,15,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-17 11:54:34,11,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-18 17:02:58,1,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-20 18:25:28,15,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-21 13:14:51,6,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-01-27 07:44:13,6,1,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-02-07 08:44:32,9,2,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-02-11 09:58:44,13,2,Verano
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-02 10:02:17,4,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-11 18:19:12,15,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-12 21:48:10,4,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-13 12:07:32,6,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-13 12:09:08,6,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-13 13:22:39,6,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.27,2025-04-13 16:15:22,2,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-14 08:23:28,7,4,Otoño
108308,AGUA OXIGENADA 10VOL FCOX1000ML,ALKOFARMA,1.0,0.0,4.5,2025-04-14 10:45:09,9,4,Otoño
