codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,8.8,2026-02-20 19:30:40,1,2,Verano
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,8.8,2026-02-21 11:50:16,1,2,Verano
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,8.8,2026-02-21 19:18:44,1,2,Verano
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,2.0,0.0,17.6,2026-03-03 12:31:51,1,3,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,8.8,2026-03-11 19:29:40,1,3,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,8.8,2026-04-13 22:31:02,13,4,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,HERSIL,1.0,0.0,9.0,2026-05-15 20:43:09,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-18 11:16:36,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-18 12:26:13,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-18 19:41:23,10,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-19 09:02:34,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-19 09:04:42,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-19 18:43:21,10,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-19 19:40:11,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-20 14:11:17,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-21 10:58:11,18,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-21 12:04:27,12,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,2.0,0.0,18.0,2026-05-21 16:27:09,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-21 22:16:04,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-22 07:43:32,6,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-22 07:56:41,12,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-22 11:01:45,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-22 17:59:16,5,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-22 17:59:43,5,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 12:19:52,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 19:28:36,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 20:21:30,13,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 20:28:27,5,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 21:08:52,8,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-23 23:57:54,5,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-24 16:50:23,18,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,5.0,0.0,45.0,2026-05-24 19:44:45,10,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-24 20:27:08,1,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 07:43:19,6,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 10:07:02,6,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 11:22:45,14,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 16:08:49,15,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 16:24:08,10,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 17:12:24,5,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 19:15:50,6,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-25 22:47:58,14,5,Otoño
105320,ALCOHOL 70º MEDICINAL FCOX1000ML,ALKOFARMA,1.0,0.0,9.0,2026-05-26 14:25:58,5,5,Otoño
