codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-02 08:26:17,6,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-02 15:36:19,13,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-01-03 08:59:44,2,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-01-03 19:03:00,13,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-04 21:55:16,13,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-01-05 11:42:03,6,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-05 12:53:23,8,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-05 12:55:55,8,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-01-05 18:19:24,6,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-01-06 14:54:37,15,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-01-09 20:40:05,15,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-10 21:35:43,9,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-12 20:18:49,9,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-01-13 18:54:59,15,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-16 22:32:25,6,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-01-23 19:01:34,13,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-01-27 20:13:30,1,1,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-02-01 16:34:04,8,2,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-02-06 19:28:30,12,2,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,4.0,7.2,2025-02-16 18:11:56,9,2,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-02-26 16:25:39,11,2,Verano
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-03-16 12:03:24,12,3,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-03-25 19:10:58,11,3,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-03-26 14:07:26,11,3,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-04-12 13:46:58,11,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-04-12 20:45:35,9,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-15 13:30:36,15,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-15 17:45:17,11,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-04-15 20:05:44,1,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,4.0,7.2,2025-04-16 12:56:36,15,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.42,2025-04-16 22:02:47,9,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,5.0,9.0,2025-04-17 10:05:21,6,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-04-21 17:14:05,13,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,6.0,10.8,2025-04-21 19:00:44,1,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,3.0,5.4,2025-04-21 19:27:59,9,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-04-22 09:36:13,4,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,12.0,21.6,2025-04-23 10:49:53,11,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-04-23 12:09:34,15,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-25 09:03:28,3,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-25 15:35:47,15,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-04-25 17:33:32,10,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-04-25 20:47:02,9,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,1.0,1.8,2025-04-27 19:45:27,6,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,6.0,10.8,2025-04-28 10:18:02,1,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,2.0,3.6,2025-04-28 12:28:00,1,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,5.0,9.0,2025-04-28 16:18:20,10,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,3.0,5.4,2025-04-28 19:48:55,10,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-29 17:41:15,12,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-29 20:00:18,13,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-04-30 08:57:25,4,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,2.0,0.0,10.8,2025-04-30 20:48:31,1,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,1.0,0.0,5.4,2025-04-30 21:07:03,3,4,Otoño
101756,AZITROMICINA 500MG TAB.REC CJAX3UND,GENFAR,0.0,3.0,5.4,2025-04-30 21:26:33,12,4,Otoño
