codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-09 23:10:34,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-10 21:37:13,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-11 07:30:40,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-11 09:00:02,3,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-11 23:00:42,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-12 15:07:41,18,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-12 17:44:24,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-12 19:37:02,3,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-13 08:03:26,7,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-13 09:56:52,7,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,5.0,1.0,2026-06-13 18:03:50,3,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-14 11:21:38,5,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-14 18:35:45,7,6,Invierno
101625,CETIRIZINA 10MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,2.0,2026-06-14 19:32:24,7,6,Invierno
