codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,42.0,4.2,2024-01-01 15:57:12,5,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-02 10:27:20,6,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-03 11:04:01,6,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-03 12:39:00,3,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-03 13:03:16,1,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,5.0,0.5,2024-01-09 15:19:51,1,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,25.0,2.5,2024-01-09 19:21:36,1,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-12 09:54:28,6,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-15 11:03:30,4,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,2.0,0.2,2024-01-16 20:09:58,4,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-17 20:13:45,3,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,4.0,0.4,2024-01-17 21:53:21,3,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-20 17:40:19,6,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-22 11:51:27,8,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-22 15:06:25,8,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,0.9,2024-01-22 22:12:13,7,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-23 09:06:50,3,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,2.0,0.0,13.8,2024-01-27 11:52:41,1,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-30 11:02:10,2,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-31 13:16:03,4,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-01-31 14:53:33,2,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-01-31 19:55:27,10,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,14.0,1.4,2024-01-31 22:15:09,10,1,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-01 09:05:22,3,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-02 21:31:37,2,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-03 08:06:41,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,5.0,0.5,2024-02-03 17:48:07,10,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,6.0,0.6,2024-02-03 19:04:16,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-04 14:12:40,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-04 18:50:57,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,0.9,2024-02-04 19:50:10,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-04 21:32:18,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-05 08:01:37,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-05 20:06:06,2,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-06 11:23:02,6,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-06 13:52:45,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-07 16:34:59,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-02-11 10:05:45,7,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,1.0,0.1,2024-02-11 16:01:04,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-11 18:53:26,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-13 14:31:49,6,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-13 17:06:52,8,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-02-13 18:49:06,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-16 14:51:53,3,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,2.0,0.0,13.8,2024-02-16 16:27:28,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-16 21:23:49,7,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,30.0,3.0,2024-02-19 09:35:26,3,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-19 10:32:54,2,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-19 16:42:29,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-19 22:53:49,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,30.0,3.0,2024-02-21 13:34:51,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,2.0,0.2,2024-02-21 15:18:01,10,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-21 15:30:42,10,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-21 15:45:38,10,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-21 17:51:47,6,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-21 20:49:51,6,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,30.0,3.0,2024-02-23 13:23:05,2,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-23 15:34:25,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-23 18:12:19,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-24 19:32:14,5,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-25 10:17:04,7,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-27 14:50:42,1,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-02-27 20:50:29,4,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,5.0,0.5,2024-02-27 21:02:40,10,2,Verano
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,1.0,0.0,6.9,2024-03-01 10:57:50,4,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-01 11:43:45,1,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-01 11:46:49,1,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,-10.0,-1.0,2024-03-02 12:00:00,7,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-02 17:22:01,2,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-02 18:27:47,1,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-02 20:47:41,7,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-03 20:44:30,5,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-04 19:22:56,2,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,32.0,3.2,2024-03-05 20:42:30,8,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-05 22:09:21,10,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-06 12:20:57,4,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-06 15:25:15,5,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-06 18:55:31,3,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-06 20:29:11,4,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-07 18:14:34,5,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-08 19:45:39,1,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-09 21:49:10,2,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-10 20:27:10,5,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,20.0,2.0,2024-03-12 14:32:46,4,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-12 18:35:12,10,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-13 10:23:29,8,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-13 15:12:03,6,3,Otoño
102932,DIMENHIDRINATO 50MGX100TAB,PORTUGAL GENERICO,0.0,10.0,1.0,2024-03-14 09:04:33,1,3,Otoño
