codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-01 19:23:21,6,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,0.9,2025-01-02 08:02:05,11,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,20.0,2.0,2025-01-03 09:29:47,13,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-03 16:27:34,3,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-04 10:26:16,11,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,65.0,6.5,2025-01-04 17:06:04,1,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-05 10:35:13,6,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,30.0,3.0,2025-01-05 11:10:27,11,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-05 18:22:21,15,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-06 17:04:33,9,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-06 18:46:43,9,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-07 10:31:53,6,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,38.0,3.8,2025-01-07 11:53:08,8,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-07 16:29:37,9,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-07 19:18:44,15,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-07 19:35:00,3,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,0.0,10.0,1.0,2025-01-08 10:30:08,14,1,Verano
100897,ENALAPRIL 20MG TAB CJAX100UND,FARM.GENERICOS,1.0,0.0,10.0,2025-01-09 18:55:58,1,1,Verano
