codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,20.0,4.0,2025-01-08 12:14:33,1,1,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-01-16 15:31:54,11,1,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-01-30 17:05:37,1,1,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-02-04 19:55:48,11,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,7.0,1.4,2025-02-05 10:47:28,12,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-02-11 21:45:42,11,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,20.0,4.0,2025-02-12 09:00:23,12,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,20.0,4.0,2025-02-14 17:58:47,1,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,-20.0,-4.0,2025-02-14 18:10:22,1,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,5.0,1.0,2025-02-14 18:13:34,1,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-02-27 12:20:56,12,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-02-27 17:54:32,11,2,Verano
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,2.0,2025-03-05 19:40:08,1,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,7.0,1.4,2025-03-07 16:01:08,12,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,15.0,1.8,2025-03-08 13:00:01,11,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,20.0,2.4,2025-03-08 19:22:49,11,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,8.0,1.52,2025-03-11 22:26:18,11,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,1.9,2025-03-15 18:30:57,11,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,10.0,1.9,2025-03-15 18:44:37,11,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,2.0,0.4,2025-03-26 17:37:07,6,3,Otoño
106087,ENALAPRIL 20MG TAB CJAX100UND,PORTUGAL GENERICO,0.0,1.0,0.2,2025-03-26 18:23:06,6,3,Otoño
