codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-01 19:02:29,6,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-02 17:02:28,11,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-02 19:29:17,4,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,0.0,10.0,3.0,2025-01-03 10:40:06,6,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-03 18:33:35,4,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,2.0,0.0,16.6,2025-01-04 08:24:42,15,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-04 14:23:07,13,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-04 18:43:41,5,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-04 19:47:20,12,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-05 11:08:38,2,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,0.0,10.0,3.0,2025-01-05 18:49:20,5,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,0.0,12.0,3.6,2025-01-05 19:03:05,5,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-06 15:54:38,15,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,2.0,0.0,16.6,2025-01-06 18:00:19,8,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-06 20:28:14,14,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-06 22:07:22,7,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-07 11:10:20,11,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,0.0,10.0,3.0,2025-01-07 17:16:49,2,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,0.0,-10.0,-3.0,2025-01-07 17:17:21,2,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-08 12:23:51,15,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-08 20:24:04,6,1,Verano
101767,LOSARTAN 50MG TAB. CJAX30UNID.,GENFAR,1.0,0.0,8.3,2025-01-08 20:38:25,7,1,Verano
