codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-08-12 18:51:55,3,8,Invierno
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,0.0,20.0,10.0,2025-08-20 11:06:00,1,8,Invierno
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-08-23 11:32:47,2,8,Invierno
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,0.0,10.0,5.0,2025-09-01 18:22:08,1,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-09-16 08:26:31,5,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,-1.0,0.0,-15.0,2025-09-16 12:00:00,5,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,-2.0,0.0,-30.0,2025-09-16 12:00:00,5,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,2.0,0.0,30.0,2025-09-16 18:03:16,5,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-09-16 18:09:34,5,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-09-25 08:06:29,3,9,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,3.0,0.0,45.0,2025-10-08 12:00:21,5,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-10-29 09:28:39,9,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,0.0,12.0,6.0,2025-10-30 07:26:38,16,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,0.0,2.0,1.0,2025-10-30 07:27:02,16,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,1.0,0.0,15.0,2025-10-30 14:01:17,1,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,-1.0,0.0,-15.0,2025-10-30 14:24:31,1,10,Primavera
104220,LOSARTAN 100MG COMP. REC. CJAX30UND,GENFAR,2.0,0.0,30.0,2025-11-09 11:41:12,1,11,Primavera
