codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,10.0,4.1,2024-01-04 09:50:01,7,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,30.0,12.3,2024-01-04 11:51:41,6,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,20.0,8.2,2024-01-04 19:10:56,2,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,1.0,0.39,2024-01-05 14:10:59,8,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,1.0,0.39,2024-01-06 22:19:22,8,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-09 19:54:58,10,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,20.0,8.2,2024-01-10 12:27:46,2,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,1.0,0.39,2024-01-11 15:30:41,8,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,10.0,4.1,2024-01-11 20:45:29,7,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,2.0,0.0,24.4,2024-01-14 19:28:02,3,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-17 20:31:29,6,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,20.0,8.2,2024-01-20 12:48:51,5,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,3.0,1.23,2024-01-22 16:28:31,9,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-24 18:13:22,6,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,0.0,10.0,4.1,2024-01-24 20:23:49,7,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-25 09:47:41,2,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-25 22:13:40,5,1,Verano
100018,METFORMINA 850MG CJAX30TAB,GENFAR,1.0,0.0,12.2,2024-01-26 18:45:49,1,1,Verano
