codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,20.0,4.0,2025-01-01 20:40:02,4,1,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-01-05 15:06:28,7,1,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,100.0,20.0,2025-01-06 20:14:02,3,1,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-01-10 14:49:45,6,1,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-01-13 08:04:53,5,1,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-02-14 22:21:15,4,2,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,20.0,4.0,2025-02-17 22:54:56,13,2,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-02-18 13:30:57,6,2,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-02-26 22:07:48,1,2,Verano
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-03-08 12:31:26,13,3,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-03-28 21:17:16,4,3,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-04-07 15:25:36,6,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-04-08 09:22:31,1,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,20.0,4.0,2025-04-11 12:19:06,1,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-04-14 10:41:06,5,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-04-15 23:13:42,4,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),1.0,0.0,15.0,2025-04-16 09:56:53,5,4,Otoño
100275,METFORMINA 850MG TAB CJAX100UND,LAB. AMERICANOS(LABOT),0.0,10.0,2.0,2025-04-17 11:39:28,2,4,Otoño
