codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-01 14:14:45,9,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,30.0,4.5,2025-01-02 10:15:12,11,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,5.0,0.75,2025-01-02 15:41:59,5,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-02 21:01:43,13,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-03 17:57:12,7,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-03 19:11:11,5,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-03 21:13:00,9,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-03 21:30:22,7,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-04 10:26:33,13,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,4.0,0.6,2025-01-04 11:04:35,7,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.4,2025-01-04 12:15:17,9,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-04 21:19:09,13,1,Verano
106335,OMEPRAZOL 20MG CJAX100CAP,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-04 21:32:55,5,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,6.0,0.9,2025-01-04 23:18:22,4,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-06 18:03:49,13,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-06 19:18:08,7,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-07 08:23:41,13,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-07 09:52:02,13,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,40.0,6.0,2025-01-07 14:12:21,7,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-07 16:55:01,5,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,1.0,0.0,15.0,2025-01-08 11:18:24,1,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-08 20:58:45,6,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,20.0,3.0,2025-01-09 16:19:59,10,1,Verano
106335,OMEPRAZOL 20MG CAP CJAX100UND,PERUFARMA GENERICO,0.0,10.0,1.5,2025-01-09 16:42:32,9,1,Verano
