codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-01 19:23:21,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-01 19:55:51,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-01 19:57:45,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-02 07:17:59,14,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-02 14:03:51,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,1.0,0.0,15.0,2025-01-02 14:35:06,14,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-02 16:38:58,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-02 20:09:23,2,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-02 21:59:52,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-03 07:14:48,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-03 07:21:05,9,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-03 13:44:54,8,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-04 07:24:43,9,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-04 08:30:36,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,-10.0,-1.5,2025-01-04 12:00:00,9,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-04 12:06:01,3,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-04 19:42:49,9,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-04 19:47:43,9,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-05 10:58:00,3,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,40.0,6.0,2025-01-05 13:30:49,2,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-05 18:34:47,3,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-06 08:44:50,2,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,30.0,4.5,2025-01-06 12:06:41,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-06 20:04:55,11,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-06 21:07:54,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,20.0,3.0,2025-01-07 12:59:11,5,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-07 18:49:41,5,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-07 20:18:49,2,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-07 22:14:34,6,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,30.0,4.5,2025-01-08 08:38:18,2,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-08 10:26:48,11,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-08 10:27:29,11,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-08 11:39:33,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,-10.0,-1.5,2025-01-08 11:41:18,1,1,Verano
108540,OMEPRAZOL 20MG CAP CJAX100UND,PHARMA GENERICOS,0.0,10.0,1.5,2025-01-08 17:41:48,3,1,Verano
