codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-01-06 19:13:18,14,1,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-01-07 17:15:32,10,1,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-01-13 11:47:58,1,1,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-02-05 11:43:16,1,2,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-02-20 13:30:27,5,2,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-02-25 19:40:03,5,2,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-03-19 13:38:36,2,3,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-04-12 10:52:40,5,4,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-04-15 19:39:55,5,4,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-04-17 17:15:45,15,4,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,60.3,2025-04-29 19:21:15,5,4,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-05-11 09:59:17,5,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-05-27 11:13:26,5,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-05-27 11:20:34,10,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-05-28 10:58:19,13,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-05-31 11:28:24,8,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,55.5,2025-06-05 19:12:09,1,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-06-09 18:31:27,16,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-06-17 15:03:46,5,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-06-26 17:36:45,3,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-06-27 10:33:31,1,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-06-27 18:22:14,2,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-07-04 11:40:36,10,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-07-04 17:25:39,3,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-07-08 13:09:13,16,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-07-20 19:22:38,10,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-08-08 15:42:57,15,8,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-08-10 17:03:18,8,8,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-09-05 07:58:57,16,9,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-09-28 11:19:01,2,9,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-10-01 12:56:20,5,10,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-10-14 11:34:04,10,10,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-10-27 14:00:47,5,10,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-11-22 15:46:30,10,11,Primavera
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-04 11:35:58,5,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-06 16:52:01,2,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-10 12:52:35,1,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-15 19:59:39,16,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-15 20:23:44,1,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-21 16:18:28,2,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2025-12-30 18:28:46,5,12,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2026-01-04 17:59:04,1,1,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2026-02-20 20:18:20,4,2,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,57.2,2026-02-27 11:31:32,2,2,Verano
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-05-17 18:45:05,13,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-05-20 09:30:47,1,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-05-27 19:15:45,5,5,Otoño
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-06-09 07:51:20,16,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-06-09 16:35:57,1,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-06-21 11:01:04,2,6,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-07-02 11:40:09,4,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-07-13 12:24:08,16,7,Invierno
108714,VITAMINA C 1000MG TAB - MASON FCOX100UND,MASON,1.0,0.0,58.9,2026-07-28 07:40:52,15,7,Invierno
