Comprobacion,Feature,Fecha,Resultado
perturbar_target_actual_y_futuro,lag_1,2025-06-01,OK
perturbar_target_actual_y_futuro,lag_2,2025-06-01,OK
perturbar_target_actual_y_futuro,lag_4,2025-06-01,OK
perturbar_target_actual_y_futuro,lag_8,2025-06-01,OK
perturbar_target_actual_y_futuro,rolling_mean_4,2025-06-01,OK
perturbar_target_actual_y_futuro,rolling_mean_8,2025-06-01,OK
perturbar_target_actual_y_futuro,mes,2025-06-01,OK
perturbar_target_actual_y_futuro,semana_del_anio,2025-06-01,OK
perturbar_target_actual_y_futuro,trimestre,2025-06-01,OK
perturbar_target_actual_y_futuro,semanas_desde_ultima_demanda,2025-06-01,OK
perturbar_target_actual_y_futuro,numero_eventos_positivos_ultimas_4,2025-06-01,OK
perturbar_target_actual_y_futuro,numero_eventos_positivos_ultimas_8,2025-06-01,OK
perturbar_target_actual_y_futuro,tasa_demanda_positiva_ultimas_4,2025-06-01,OK
perturbar_target_actual_y_futuro,tasa_demanda_positiva_ultimas_8,2025-06-01,OK
perturbar_target_actual_y_futuro,media_demanda_positiva_historica,2025-06-01,OK
perturbar_target_actual_y_futuro,demanda_no_cero_lag_1,2025-06-01,OK
perturbar_target_actual_y_futuro,demanda_no_cero_lag_2,2025-06-01,OK
perturbar_target_actual_y_futuro,lag_1,2026-01-11,OK
perturbar_target_actual_y_futuro,lag_2,2026-01-11,OK
perturbar_target_actual_y_futuro,lag_4,2026-01-11,OK
perturbar_target_actual_y_futuro,lag_8,2026-01-11,OK
perturbar_target_actual_y_futuro,rolling_mean_4,2026-01-11,OK
perturbar_target_actual_y_futuro,rolling_mean_8,2026-01-11,OK
perturbar_target_actual_y_futuro,mes,2026-01-11,OK
perturbar_target_actual_y_futuro,semana_del_anio,2026-01-11,OK
perturbar_target_actual_y_futuro,trimestre,2026-01-11,OK
perturbar_target_actual_y_futuro,semanas_desde_ultima_demanda,2026-01-11,OK
perturbar_target_actual_y_futuro,numero_eventos_positivos_ultimas_4,2026-01-11,OK
perturbar_target_actual_y_futuro,numero_eventos_positivos_ultimas_8,2026-01-11,OK
perturbar_target_actual_y_futuro,tasa_demanda_positiva_ultimas_4,2026-01-11,OK
perturbar_target_actual_y_futuro,tasa_demanda_positiva_ultimas_8,2026-01-11,OK
perturbar_target_actual_y_futuro,media_demanda_positiva_historica,2026-01-11,OK
perturbar_target_actual_y_futuro,demanda_no_cero_lag_1,2026-01-11,OK
perturbar_target_actual_y_futuro,demanda_no_cero_lag_2,2026-01-11,OK
