Modelo,MAE,RMSE,R2,MASE,RMSSE,observaciones,series,series_escala_valida,observaciones_escala_valida,R2_estado,MAE_positivas,RMSE_positivas,porcentaje_predicciones_negativas,Poblacion,Protocolo
Regresión Lineal,0.23059090596656548,0.539644857287217,0.3218532683231031,1.4504432667185498,0.675713730746939,3444,129,92,2418,definido,0.9786595263818504,1.3637863760256992,19.860627177700348,comun_3444,secuencial una semana con historia observada
Random Forest,0.22703005641196106,0.5486983586714412,0.2989081641123271,1.165628628738855,0.6471103827900692,3444,129,92,2418,definido,0.9793762551374675,1.3478838168095357,0.0,comun_3444,secuencial una semana con historia observada
XGBoost,0.22518463106609612,0.5488974093470322,0.298399403281957,1.3513132548239803,0.6592760427780381,3444,129,92,2418,definido,1.0006496992400464,1.369231631788796,0.0,comun_3444,secuencial una semana con historia observada
ARIMA (Optimizado ADF/AIC),0.23633302823110328,0.5796836321886407,0.21749041943698,1.4248900257216406,0.7470224376401865,3444,129,92,2418,definido,1.0305950374826207,1.3931419887783683,30.42973286875726,comun_3444,origen fijo multi-step
TwoStage,0.20524921473310384,0.6101481190333302,0.13308175884718876,0.7549598036394636,0.6449487740025392,3444,129,92,2418,definido,1.1946495886409985,1.4307261363719317,0.0,comun_3444,secuencial una semana con historia observada
Cero,0.20092915214866433,0.6854214434699347,-0.09401420783394143,0.7476675798071465,0.6646101779178114,3444,129,92,2418,definido,1.628235294117647,1.9511685789622104,0.0,comun_3444,secuencial una semana con historia observada
Naive_ultimo,0.24274099883855982,0.7225422918630979,-0.21572159807504732,1.2216722176469894,0.8263867409096304,3444,129,92,2418,definido,1.2658823529411765,1.6789352368128334,0.0,comun_3444,secuencial una semana con historia observada
Croston,0.24703853009019464,0.5625943395427032,0.26294770265757617,2.7291554193344787,0.8339697561056233,3444,129,92,2418,definido,1.0016569616192565,1.3605742893354955,0.0,comun_3444,secuencial una semana con historia observada
SBA,0.23925289987661638,0.5601131584919768,0.2694345348971403,2.527652994270629,0.8107832729549974,3444,129,92,2418,definido,1.038588581474977,1.4014966429429803,0.0,comun_3444,secuencial una semana con historia observada
TSB,0.2125615481042942,0.5452682640096626,0.30764627929261257,1.0696657618311456,0.6248520421541028,3444,129,92,2418,definido,1.000081661545243,1.3656058013577954,0.0,comun_3444,secuencial una semana con historia observada
