Modelo,parametros,MSE_cv
Cero,{},0.3178726542653446
Naive_ultimo,{},0.42268294681635665
Croston,"{""alpha"": 0.05}",0.2758750214807063
Croston,"{""alpha"": 0.1}",0.2565544740879618
Croston,"{""alpha"": 0.2}",0.24892426068659756
SBA,"{""alpha"": 0.05}",0.2718738712198273
SBA,"{""alpha"": 0.1}",0.2512999813510329
SBA,"{""alpha"": 0.2}",0.24071674730976644
TSB,"{""alpha"": 0.05, ""beta"": 0.05}",0.2271968822002647
TSB,"{""alpha"": 0.05, ""beta"": 0.1}",0.22500012235308295
TSB,"{""alpha"": 0.05, ""beta"": 0.2}",0.23061895254793072
TSB,"{""alpha"": 0.1, ""beta"": 0.05}",0.22364030592118125
TSB,"{""alpha"": 0.1, ""beta"": 0.1}",0.22183043600631583
TSB,"{""alpha"": 0.1, ""beta"": 0.2}",0.22715633711702435
TSB,"{""alpha"": 0.2, ""beta"": 0.05}",0.22286707418641585
TSB,"{""alpha"": 0.2, ""beta"": 0.1}",0.22143367774321027
TSB,"{""alpha"": 0.2, ""beta"": 0.2}",0.22686592655666218
