Features,Etapa,Candidato,fold,Metrica,Valor,n_validacion,train_fin,validacion_inicio,validacion_fin
basicas,clasificacion,Logistic Regression,1,Brier,0.058066654926244354,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,clasificacion,Random Forest,1,Brier,0.055737616319785514,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,clasificacion,XGBoost,1,Brier,0.05534553516976302,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,magnitud,Regresión Lineal,1,MSE_positivas,1.2801828210062525,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,magnitud,Random Forest,1,MSE_positivas,1.417678371243191,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,magnitud,XGBoost,1,MSE_positivas,1.3282189789488192,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
basicas,clasificacion,Logistic Regression,2,Brier,0.06369996162281377,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,clasificacion,Random Forest,2,Brier,0.06465736945753334,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,clasificacion,XGBoost,2,Brier,0.0648168601386359,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,magnitud,Regresión Lineal,2,MSE_positivas,1.1845990400729416,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,magnitud,Random Forest,2,MSE_positivas,1.1913620965256886,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,magnitud,XGBoost,2,MSE_positivas,1.1633382228551474,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
basicas,clasificacion,Logistic Regression,3,Brier,0.05623936238702876,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
basicas,clasificacion,Random Forest,3,Brier,0.05675227025225255,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
basicas,clasificacion,XGBoost,3,Brier,0.056299563114016356,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
basicas,magnitud,Regresión Lineal,3,MSE_positivas,0.9878564584336433,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
basicas,magnitud,Random Forest,3,MSE_positivas,0.9776474429784552,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
basicas,magnitud,XGBoost,3,MSE_positivas,0.9268748292917258,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,clasificacion,Logistic Regression,1,Brier,0.05703881320164143,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,clasificacion,Random Forest,1,Brier,0.05750576864186429,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,clasificacion,XGBoost,1,Brier,0.055229055881961656,3732,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,magnitud,Regresión Lineal,1,MSE_positivas,1.3492126566410665,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,magnitud,Random Forest,1,MSE_positivas,1.3382632086302246,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,magnitud,XGBoost,1,MSE_positivas,1.3969536050607678,290,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
intermitentes,clasificacion,Logistic Regression,2,Brier,0.06343785768473298,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,clasificacion,Random Forest,2,Brier,0.06451348284313915,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,clasificacion,XGBoost,2,Brier,0.06446589841531855,4357,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,magnitud,Regresión Lineal,2,MSE_positivas,1.2158250122053906,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,magnitud,Random Forest,2,MSE_positivas,1.1186096454524859,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,magnitud,XGBoost,2,MSE_positivas,1.1471174132835797,446,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
intermitentes,clasificacion,Logistic Regression,3,Brier,0.05623813841264207,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,clasificacion,Random Forest,3,Brier,0.057387671855355815,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,clasificacion,XGBoost,3,Brier,0.05677011931311587,4114,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,magnitud,Regresión Lineal,3,MSE_positivas,0.9909268058207329,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,magnitud,Random Forest,3,MSE_positivas,1.1166413317847463,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
intermitentes,magnitud,XGBoost,3,MSE_positivas,1.127468314336037,321,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
