umbral,MSE,MAE,Features
0.05,0.6987796848419537,0.4707670406485194,basicas
0.1,0.5415219456230126,0.3445650249595067,basicas
0.15,0.4289163283576075,0.24689544405320193,basicas
0.2,0.3850639314470479,0.21394498958007768,basicas
0.25,0.3549956775297581,0.19049553921757434,basicas
0.3,0.3324630951972568,0.17472705466526703,basicas
0.4,0.30380229389413477,0.15603776978614106,basicas
0.5,0.3014259953690401,0.14988424914162404,basicas
0.6,0.30642179659029983,0.14144089240905916,basicas
0.7,0.3148170295793148,0.13916692609309486,basicas
0.8,0.31964534465564926,0.13850365814923907,basicas
0.9,0.3178726542653446,0.13791690567893142,basicas
0.05,0.8571111286965527,0.5380033274152033,intermitentes
0.1,0.6823225194715302,0.4155792833712776,intermitentes
0.15,0.486667011364094,0.27700455424736165,intermitentes
0.2,0.4110736369542883,0.2203361339560994,intermitentes
0.25,0.36907828437039863,0.191557168541414,intermitentes
0.3,0.3518288449571113,0.1779385136519636,intermitentes
0.4,0.32255274956436836,0.1597667938324375,intermitentes
0.5,0.313194987191349,0.15096701886419422,intermitentes
0.6,0.31369454391073975,0.14485687742717845,intermitentes
0.7,0.31866970874797285,0.14040038761730475,intermitentes
0.8,0.3255686894777228,0.14058418540982232,intermitentes
0.9,0.3178726542653446,0.13791690567893142,intermitentes
