Modelo,Referencia,Mejora_pct_MAE,Mejora_pct_RMSE,Mejora_pct_MASE,Mejora_pct_RMSSE,Mejora_pct_MAE_positivas,Mejora_pct_RMSE_positivas,Cambio_absoluto_R2
Regresión Lineal,Cero,-14.762294819198203,21.26816830309921,-93.99574167609052,-1.6706865464977387,39.89446550400485,30.10412371692295,0.41586747615704456
Random Forest,Cero,-12.990103220056925,19.947301926583318,-55.90198909514273,2.6330916542036986,39.850446758175764,30.919151151642183,0.39292237194626856
XGBoost,Cero,-12.071657426536866,19.918261300923387,-80.73717402224908,0.8025960656342769,38.54391298019946,29.825047074247966,0.39241361111589845
ARIMA (Optimizado ADF/AIC),Cero,-17.620079368196492,15.426685623665067,-90.57801410744291,-12.400089926484174,36.704784547671416,28.599609290584514,0.31150462727092143
TwoStage,Cero,-2.1500427082094906,10.982049825510936,-0.9753296825038272,2.9583362651577647,26.629179888377983,26.673371445284968,0.2270959666811302
Cero,Cero,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naive_ultimo,Cero,-20.809248554913307,-5.415769924739957,-63.3977787243507,-24.341571701272528,22.254335260115607,13.952322986575192,-0.12170739024110588
Croston,Cero,-22.948077692287626,17.919938907283278,-265.022570597275,-25.48254357440124,38.48205076760346,30.268747457015774,0.3569619104915176
SBA,Cero,-19.07326404263972,18.28193240403842,-238.07176645570382,-21.993809287594512,36.21385157126225,28.171422087556895,0.36344874273108174
TSB,Cero,-5.7893022646227275,20.447737781699537,-43.067024800922276,5.98217377414663,38.57879968833406,30.01087573457465,0.401660487126554
Regresión Lineal,Regresión Lineal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Forest,Regresión Lineal,1.5442280950666494,-1.6776776915351297,19.63638595972478,4.233057085468939,-0.07323576139568208,1.1660593987238799,-0.022945104210776
XGBoost,Regresión Lineal,2.3445308381993333,-1.7145631863013782,6.834463240940061,2.432640809404678,-2.246968661255946,-0.3992748321012876,-0.023453865041146105
ARIMA (Optimizado ADF/AIC),Regresión Lineal,-2.49017724288328,-7.41946751845237,1.7617539122864372,-10.553094254044884,-5.30680075151144,-2.15250813974372,-0.10436284888612313
TwoStage,Regresión Lineal,10.989891872464414,-13.064751900079541,47.94971847830577,4.552957168769074,-22.0699902710469,-4.908375792791399,-0.18877150947591437
Cero,Regresión Lineal,12.863366702849051,-27.013430076130707,48.45247677293488,1.643233269339312,-66.37403000993699,-43.069956795450686,-0.41586747615704456
Naive_ultimo,Regresión Lineal,-5.269111902338438,-33.892185222574405,15.77249205955686,-22.29834962745782,-29.348595585760265,-23.108374326595822,-0.5375748663981504
Croston,Regresión Lineal,-7.132815604624919,-4.252701002443118,-88.16009436266049,-23.420572671173478,-2.349891317405221,0.23552711382586405,-0.05890556566552696
SBA,Regresión Lineal,-3.7564334437832723,-3.7929206455618885,-74.26762233790325,-19.989166426846406,-6.12358572901109,-2.7651153861189814,-0.052418733425962816
TSB,Regresión Lineal,7.818763618061089,-1.0420569466212073,26.252492160473587,7.527105973799473,-2.188926238994604,-0.13340984805833989,-0.014206989030490558
Regresión Lineal,XGBoost,-2.4008187747424494,1.685661455539034,-7.335827687672759,-2.4932936891861313,2.1975895135826957,0.3976869681270098,0.023453865041146105
Random Forest,XGBoost,-0.8195165616445924,0.036263730198289046,13.741049710143797,1.8453059414544508,2.125963173599638,1.5591091005815445,0.000508760830370103
XGBoost,XGBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIMA (Optimizado ADF/AIC),XGBoost,-4.9507806603972355,-5.608738958748546,-5.444834544100155,-13.30950757628098,-2.9925895411068004,-1.7462609272570762,-0.08090898384497702
TwoStage,XGBoost,8.852920485119984,-11.158862957499062,44.1313995149257,2.17318207334321,-19.387392965618957,-4.491168853789757,-0.16531764443476826
Cero,XGBoost,10.771374050972572,-24.87241364197935,44.671039291734296,-0.8090897884437752,-62.717811773113695,-42.50098622197023,-0.39241361111589845
Naive_ultimo,XGBoost,-7.796432504894419,-31.635216264298545,9.593707211425063,-25.34760666069802,-26.50604441320111,-22.61878836522593,-0.5141210013570043
Croston,XGBoost,-9.704880355570962,-2.495353405286578,-101.96319466206774,-26.497810020741227,-0.1006608386506379,0.6322774213147827,-0.035451700624380855
SBA,XGBoost,-6.247437377904775,-2.0433233886614355,-87.05159482801616,-22.980848741074013,-3.7914249375924003,-2.3564319144477017,-0.02896486838481671
TSB,XGBoost,5.605659188213782,0.6611700612117873,20.842502061412965,5.221485142836436,0.0567668880762973,0.264807673648596,0.009246876010655547
