Modelo,Tipo_demanda,MAE,RMSE,R2,MASE,RMSSE,observaciones,series,series_escala_valida,observaciones_escala_valida,R2_estado
Regresión Lineal,cero,0.12528147778620907,0.26529822863131863,,1.0282690348830492,0.3568951261293957,3019,129,92,2000,no_definido
Regresión Lineal,positiva,0.9786595263818504,1.3637863760256992,-0.6090486723134769,10.156658403973411,2.507036155870698,425,66,59,418,definido
Random Forest,cero,0.12111845175533961,0.2961319668246474,,0.7196495353019022,0.3140237415463206,3019,129,92,2000,no_definido
Random Forest,positiva,0.9793762551374675,1.3478838168095357,-0.571742527232804,10.23742387031868,2.513353783444411,425,66,59,418,definido
XGBoost,cero,0.1160184654569776,0.28244962284106145,,0.906257322080502,0.32150215095250834,3019,129,92,2000,no_definido
XGBoost,positiva,1.0006496992400464,1.369231631788796,-0.621923376600028,10.155484258337985,2.5209785405346157,425,66,59,418,definido
ARIMA (Optimizado ADF/AIC),cero,0.12452072152958125,0.33183675217934283,,0.920634873293654,0.34089386338013716,3019,129,92,2000,no_definido
ARIMA (Optimizado ADF/AIC),positiva,1.0305950374826207,1.3931419887783683,-0.6790639987215776,10.37970544953831,2.559947115821287,425,66,59,418,definido
TwoStage,cero,0.06596628697197261,0.3694931227594648,,0.19651886200208948,0.16293057125752491,3019,129,92,2000,no_definido
TwoStage,positiva,1.1946495886409985,1.4307261363719317,-0.7708815280330437,10.839475635461012,2.711417735602948,425,66,59,418,definido
Cero,cero,0.0,0.0,,0.0,0.0,3019,129,92,2000,no_definido
Cero,positiva,1.628235294117647,1.9511685789622104,-2.293563744695525,10.989268821602721,2.8198929203244005,425,66,59,418,definido
Naive_ultimo,cero,0.09870818151705862,0.4458041106449146,,0.7643530978644297,0.6404128900145397,3019,129,92,2000,no_definido
Naive_ultimo,positiva,1.2658823529411765,1.6789352368128334,-1.438621363501384,10.640865291112917,2.7085102023342538,425,66,59,418,definido
Croston,cero,0.1408070516536755,0.3169730217413717,,2.2841176633717337,0.4887130071918201,3019,129,92,2000,no_definido
Croston,positiva,1.0016569616192565,1.3605742893354955,-0.6014781063967052,10.182267097660633,2.5077536252111563,425,66,59,418,definido
SBA,cero,0.1267263464883079,0.2852757195672345,,2.05570589703456,0.4398417064726379,3019,129,92,2000,no_definido
SBA,positiva,1.038588581474977,1.4014966429429803,-0.6992630337167844,10.255124293719955,2.535480992250744,425,66,59,418,definido
TSB,cero,0.10169833239962275,0.27684623009027925,,0.6309802673922004,0.28537202971343245,3019,129,92,2000,no_definido
TSB,positiva,1.000081661545243,1.3656058013577954,-0.6133447949063191,10.352194899728447,2.5583703331657124,425,66,59,418,definido
