Modelo,fold,MAE,RMSE,R2,MASE,RMSSE,observaciones,series,series_escala_valida,observaciones_escala_valida,R2_estado,train_fin,validacion_inicio,validacion_fin
Cero,1,0.12138263665594855,0.5173827282194556,-0.0582473923939395,0.5295177436539732,0.6196138591430341,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
Cero,2,0.17328436997934357,0.6563543325591567,-0.07492379138766458,0.8539425383354037,0.7892304513439262,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
Cero,3,0.11545940690325716,0.4937627496000098,-0.057841930086186544,0.4725998355169088,0.5103024034607054,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
Naive_ultimo,1,0.1752411575562701,0.6116062173154796,-0.47879215193387337,0.8721056700852948,0.7909361446730024,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
Naive_ultimo,2,0.22676153316502182,0.7262417839523694,-0.31602284102762557,1.4391183243500225,1.016462482602758,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
Naive_ultimo,3,0.17209528439474964,0.596538385770453,-0.5440484403252015,0.8403825866816543,0.691579098447548,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
Croston,1,0.22876551173585424,0.4824687631326,0.07975862588330085,2.173968681705979,0.8997551141947596,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
Croston,2,0.23385225373772897,0.5331593552052788,0.2907243822089618,2.6496037408738484,1.002712663043981,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
Croston,3,0.2185844328787749,0.47555363983379917,0.018742132619727236,2.271305715238179,0.7398502575104106,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
SBA,1,0.21580407236929275,0.4727414290559901,0.11649160341959874,2.0067869272473895,0.8636284715127917,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
SBA,2,0.22515233479732072,0.5299324086374619,0.2992841797055015,2.466123447633667,0.9727351157237375,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
SBA,3,0.20535806280856905,0.4624587416136131,0.07203815894284893,2.088402852883638,0.7080200373601147,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
TSB,1,0.15890999209783913,0.44524558312021023,0.21627699739195694,0.8368753146215033,0.6073983407353603,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
TSB,2,0.18657231107523606,0.5108041011658088,0.3489569403024343,1.197660129228727,0.7338948959172462,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
TSB,3,0.16626564116939815,0.447940756318703,0.12938671577000316,0.814530323951388,0.5198584336557102,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
TwoStage_basicas,1,0.1469400211098621,0.5577113874889383,-0.22965244621002934,0.5762982874400991,0.6430784636945065,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
TwoStage_basicas,2,0.15753337260038994,0.5723261403558044,0.1826875262407507,0.8341766118733913,0.7654049528032025,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
TwoStage_basicas,3,0.14445416360557456,0.5148088789921679,-0.14994266909430176,0.5118967672732124,0.522360183087404,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
TwoStage_intermitentes,1,0.15254609890676116,0.5793420301578996,-0.3268854370676917,0.5968685848633278,0.6438541113906342,3732,172,86,2058,definido,2024-08-11 00:00:00,2024-08-18 00:00:00,2025-01-26 00:00:00
TwoStage_intermitentes,2,0.15420417042346538,0.5647602641098092,0.20415365167857946,0.8236895929070948,0.759360226786142,4357,191,108,2557,definido,2025-01-26 00:00:00,2025-02-02 00:00:00,2025-07-13 00:00:00
TwoStage_intermitentes,3,0.146106203097883,0.53547855599574,-0.24413726594055052,0.5091194162632052,0.5247724818974648,4114,197,121,2591,definido,2025-07-13 00:00:00,2025-07-20 00:00:00,2025-12-28 00:00:00
