Modelo,clasificacion_demanda,MAE,RMSE,R2,MASE,RMSSE,observaciones,series,series_escala_valida,observaciones_escala_valida,R2_estado
Regresión Lineal,intermitente,0.3839376041576033,0.7200959963037873,0.28137812442667953,1.1200804825161639,0.6674849811402124,1669,63,63,1669,definido
Regresión Lineal,lumpy,0.4954607017103823,0.7734939830241279,0.2744549323653642,0.6500937876262549,0.26317751744201917,104,5,5,104,definido
Regresión Lineal,positivas_insuficientes,0.0681175827916836,0.2249204981970118,-0.01907284348844973,2.566927805504093,0.7936458444453475,615,23,23,615,definido
Regresión Lineal,sin_demanda_positiva,0.0343127891799368,0.10470646773101011,-0.1319100413018619,,,1026,37,0,0,definido
Regresión Lineal,suave,0.8246023572143802,1.047635564062954,-0.07251492679756044,0.585901674862849,0.5443674074319348,30,1,1,30,definido
Random Forest,intermitente,0.38517824894720165,0.7351643291720537,0.2509884858015077,1.0282565139856252,0.6662435759844426,1669,63,63,1669,definido
Random Forest,lumpy,0.45887317454446175,0.7318127377438055,0.3505429380120987,0.5048501744122079,0.2346127332292786,104,5,5,104,definido
Random Forest,positivas_insuficientes,0.053668852155022394,0.22289607747107593,-0.0008108537418580752,1.7094642325192901,0.6874538637335819,615,23,23,615,definido
Random Forest,sin_demanda_positiva,0.031483167724155416,0.10674419191297445,-0.17639562961364819,,,1026,37,0,0,definido
Random Forest,suave,0.8666044158989374,1.1091041038929124,-0.20206375889781758,0.6157452428755608,0.5763073976477024,30,1,1,30,definido
XGBoost,intermitente,0.37268374411868005,0.7336854220360965,0.2539989808650224,1.0345821936140294,0.6557431701450013,1669,63,63,1669,definido
XGBoost,lumpy,0.4646439377146845,0.7685796629150943,0.2836450077098225,0.5425557057037099,0.2504137687089151,104,5,5,104,definido
XGBoost,positivas_insuficientes,0.06411101631517332,0.22168527820531542,0.010032672871705506,2.425570680634945,0.7614197664386235,615,23,23,615,definido
XGBoost,sin_demanda_positiva,0.03772027498078451,0.10160795217110942,-0.06590939941683116,,,1026,37,0,0,definido
XGBoost,suave,0.9024817923704783,1.1101536249989887,-0.2043398088909394,0.6412370630000767,0.5768527448115045,30,1,1,30,definido
ARIMA (Optimizado ADF/AIC),intermitente,0.4172239866769981,0.780852191611247,0.15499883440098094,1.47075611977643,0.8063909300135602,1669,63,63,1669,definido
ARIMA (Optimizado ADF/AIC),lumpy,0.5414964021753925,0.7703099693757308,0.2804159112552057,0.8585037412373495,0.29587579471352365,104,5,5,104,definido
ARIMA (Optimizado ADF/AIC),positivas_insuficientes,0.04433523756955469,0.2233727611765038,-0.005096082632649601,1.4575652593372455,0.6897808727861013,615,23,23,615,definido
ARIMA (Optimizado ADF/AIC),sin_demanda_positiva,0.007802095513331585,0.09872519411988001,-0.006284741511309644,,,1026,37,0,0,definido
ARIMA (Optimizado ADF/AIC),suave,0.866578951193821,1.1144719732707185,-0.2137274715367381,0.6157271495324517,0.5790966243949285,30,1,1,30,definido
TwoStage,intermitente,0.35917852023463537,0.8086147534930688,0.09384401596333736,0.7072636344563481,0.6770940774724318,1669,63,63,1669,definido
TwoStage,lumpy,0.43899815243024093,0.8981215958297523,0.021815462710083167,0.37423986062008935,0.27843580019742914,104,5,5,104,definido
TwoStage,positivas_insuficientes,0.027642276422764227,0.22451392844329426,-0.01539198977417966,0.9633484844879149,0.6311180947218348,615,23,23,615,definido
TwoStage,sin_demanda_positiva,0.007797270955165692,0.09872481295984872,-0.006276971361317996,,,1026,37,0,0,definido
TwoStage,suave,1.2251179138819377,1.4827608684345381,-1.1484493090821615,0.8704785177582188,0.7704651478810715,30,1,1,30,definido
Cero,intermitente,0.35530257639304974,0.9207676480598137,-0.17495096980775005,0.6998249043269114,0.7050929989921902,1669,63,63,1669,definido
Cero,lumpy,0.4519230769230769,1.0143205380185072,-0.24767350599843074,0.3799919084458999,0.3007997778709915,104,5,5,104,definido
Cero,positivas_insuficientes,0.027642276422764227,0.22451392844329426,-0.01539198977417966,0.9633484844879149,0.6311180947218348,615,23,23,615,definido
Cero,sin_demanda_positiva,0.007797270955165692,0.09872481295984872,-0.006276971361317996,,,1026,37,0,0,definido
Cero,suave,0.9,1.35400640077266,-0.7915309446254066,0.6394736842105263,0.7035623639735145,30,1,1,30,definido
Naive_ultimo,intermitente,0.42180946674655484,0.9599530645606466,-0.2770845170065863,1.0285149432051899,0.8393572463505866,1669,63,63,1669,definido
Naive_ultimo,lumpy,0.5384615384615384,1.0469736606781692,-0.32929700639085135,0.8158098013762569,0.41972416523394235,104,5,5,104,definido
Naive_ultimo,positivas_insuficientes,0.05040650406504065,0.3097336910147062,-0.9325202386024709,1.859150385124898,0.8801942758925827,615,23,23,615,definido
Naive_ultimo,sin_demanda_positiva,0.012670565302144249,0.1209127083516686,-0.5094154570419769,,,1026,37,0,0,definido
Naive_ultimo,suave,1.0666666666666667,1.5491933384829668,-1.3452768729641686,0.7578947368421053,0.8049844718999243,30,1,1,30,definido
Croston,intermitente,0.40336032699751595,0.7383647424211585,0.24445290167812717,1.1560302571536278,0.6885359162570384,1669,63,63,1669,definido
Croston,lumpy,0.5345832006254103,0.8121033141093151,0.2002153211360247,0.6832623929263185,0.28853035097265783,104,5,5,104,definido
Croston,positivas_insuficientes,0.1412953463910951,0.3284631795198984,-1.1733043037435502,7.574901541125608,1.3626949833567092,615,23,23,615,definido
Croston,sin_demanda_positiva,0.008969038456593663,0.09883650950159807,-0.00855524846960054,,,1026,37,0,0,definido
Croston,suave,0.8632262506581684,1.0831446417870474,-0.14645177364689643,0.6133449675729091,0.5628184654563473,30,1,1,30,definido
SBA,intermitente,0.3929496866819629,0.7381633456971068,0.24486501225022683,1.1060769380057767,0.6820770314432234,1669,63,63,1669,definido
SBA,lumpy,0.5186248805628694,0.8034127698065571,0.21724117018813238,0.6495119959115961,0.28332771270850376,104,5,5,104,definido
SBA,positivas_insuficientes,0.129930039394262,0.31107531844228004,-0.9492981189982694,6.913746235461841,1.289049407331389,615,23,23,615,definido
SBA,sin_demanda_positiva,0.008851861706450864,0.09881529687413804,-0.00812237581902675,,,1026,37,0,0,definido
SBA,suave,0.8409329395347543,1.0708561903239742,-0.12058597428844475,0.5975049833536412,0.5564331987722312,30,1,1,30,definido
TSB,intermitente,0.3692330835841076,0.7271466974032832,0.26723669499553604,0.974489158846173,0.649248255852033,1669,63,63,1669,definido
TSB,lumpy,0.555941756594576,0.8044395245571291,0.21523917335895548,0.7902043608683431,0.28185022350651046,104,5,5,104,definido
TSB,positivas_insuficientes,0.039771591945675956,0.221849503918243,0.008565382749641692,1.4119573943512977,0.6357404996810421,615,23,23,615,definido
