sucursal,producto,semana,y_real,probabilidad,magnitud,umbral,y_pred,Modelo
1,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
1,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
1,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
1,ENALAPRIL 10MG,2026-01-11,1.0,0.104990505,1.1934738,0.5,0.0,TwoStage
1,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
1,LOPERAMIDA 2MG,2026-01-11,0.0,0.044685494,1.2971951,0.5,0.0,TwoStage
1,METFORMINA 850MG,2026-01-11,0.0,0.16160819,1.3199389,0.5,0.0,TwoStage
1,PARACETAMOL 500MG,2026-01-11,0.0,0.12131702,1.2971951,0.5,0.0,TwoStage
1,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.48191163,1.8941833,0.5,0.0,TwoStage
2,AMOXICILINA 500MG,2026-01-11,0.0,0.15056342,1.3112217,0.5,0.0,TwoStage
2,AZITROMICINA 500MG,2026-01-11,0.0,0.023224222,1.3112217,0.5,0.0,TwoStage
2,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014500369,1.3112217,0.5,0.0,TwoStage
2,ENALAPRIL 10MG,2026-01-11,0.0,0.13434112,1.2075005,0.5,0.0,TwoStage
2,IBUPROFENO TABX800,2026-01-11,0.0,0.013706001,1.3112217,0.5,0.0,TwoStage
2,METFORMINA 850MG,2026-01-11,0.0,0.050166856,1.3343602,0.5,0.0,TwoStage
2,PARACETAMOL 500MG,2026-01-11,0.0,0.15056342,1.3112217,0.5,0.0,TwoStage
2,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.50627995,1.9082099,0.5,1.9082099,TwoStage
3,AMOXICILINA 500MG,2026-01-11,0.0,0.19849887,1.3993268,0.5,0.0,TwoStage
3,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.3993268,0.5,0.0,TwoStage
3,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.3993268,0.5,0.0,TwoStage
3,ENALAPRIL 10MG,2026-01-11,0.0,0.104990505,1.2956055,0.5,0.0,TwoStage
3,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.3993268,0.5,0.0,TwoStage
3,LOPERAMIDA 2MG,2026-01-11,0.0,0.015448096,1.3993268,0.5,0.0,TwoStage
3,LORATADINA 10MG,2026-01-11,0.0,0.007725465,1.3993268,0.5,0.0,TwoStage
3,LOSARTAN 50MG,2026-01-11,1.0,0.1216321,1.4117473,0.5,0.0,TwoStage
3,METFORMINA 850MG,2026-01-11,0.0,0.14209409,1.4307345,0.5,0.0,TwoStage
3,PARACETAMOL 500MG,2026-01-11,0.0,0.1072419,1.3993268,0.5,0.0,TwoStage
3,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.59844357,2.1232674,0.5,2.1232674,TwoStage
4,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
4,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
4,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
4,ENALAPRIL 10MG,2026-01-11,0.0,0.14236718,1.1934738,0.5,0.0,TwoStage
4,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
4,LOPERAMIDA 2MG,2026-01-11,0.0,0.015448096,1.2971951,0.5,0.0,TwoStage
4,METFORMINA 850MG,2026-01-11,0.0,0.051073838,1.3203336,0.5,0.0,TwoStage
4,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.5358154,1.8650193,0.5,1.8650193,TwoStage
5,AMOXICILINA 500MG,2026-01-11,0.0,0.033239517,1.3864012,0.5,0.0,TwoStage
5,AZITROMICINA 500MG,2026-01-11,0.0,0.026335178,1.3864012,0.5,0.0,TwoStage
5,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.044654142,1.3864012,0.5,0.0,TwoStage
5,ENALAPRIL 10MG,2026-01-11,0.0,0.21292967,1.3656404,0.5,0.0,TwoStage
5,IBUPROFENO TABX800,2026-01-11,0.0,0.013303593,1.3864012,0.5,0.0,TwoStage
5,METFORMINA 850MG,2026-01-11,0.0,0.18644488,1.4780619,0.5,0.0,TwoStage
5,PARACETAMOL 500MG,2026-01-11,0.0,0.18230873,1.4312259,0.5,0.0,TwoStage
5,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.56300277,2.113138,0.5,2.113138,TwoStage
6,AMOXICILINA 500MG,2026-01-11,0.0,0.028456215,1.2054094,0.5,0.0,TwoStage
6,AZITROMICINA 500MG,2026-01-11,0.0,0.022522291,1.2054094,0.5,0.0,TwoStage
6,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2054094,0.5,0.0,TwoStage
6,ENALAPRIL 10MG,2026-01-11,0.0,0.2493552,1.6331791,0.5,0.0,TwoStage
6,IBUPROFENO TABX800,2026-01-11,0.0,0.011533166,1.2054094,0.5,0.0,TwoStage
6,LOPERAMIDA 2MG,2026-01-11,0.0,0.014701686,1.2054094,0.5,0.0,TwoStage
6,METFORMINA 850MG,2026-01-11,0.0,0.048691206,1.2159127,0.5,0.0,TwoStage
6,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.11481915,1.7002925,0.5,0.0,TwoStage
7,AMOXICILINA 500MG,2026-01-11,0.0,0.028610889,1.2320511,0.5,0.0,TwoStage
7,AZITROMICINA 500MG,2026-01-11,0.0,0.022645464,1.2320511,0.5,0.0,TwoStage
7,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014135858,1.2320511,0.5,0.0,TwoStage
7,ENALAPRIL 10MG,2026-01-11,0.0,0.13136566,1.1283299,0.5,0.0,TwoStage
7,IBUPROFENO TABX800,2026-01-11,0.0,0.01176407,1.2320511,0.5,0.0,TwoStage
7,METFORMINA 850MG,2026-01-11,0.0,0.048950322,1.2551897,0.5,0.0,TwoStage
7,PARACETAMOL 500MG,2026-01-11,0.0,0.028610889,1.2320511,0.5,0.0,TwoStage
7,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.11538749,1.7269341,0.5,0.0,TwoStage
8,AMOXICILINA 500MG,2026-01-11,0.0,0.017539697,1.2304857,0.5,0.0,TwoStage
8,AZITROMICINA 500MG,2026-01-11,0.0,0.014219036,1.2304857,0.5,0.0,TwoStage
8,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.008894297,1.2304857,0.5,0.0,TwoStage
8,ENALAPRIL 10MG,2026-01-11,0.0,0.08396989,1.1267644,0.5,0.0,TwoStage
8,IBUPROFENO TABX800,2026-01-11,0.0,0.008603842,1.2304857,0.5,0.0,TwoStage
8,LOPERAMIDA 2MG,2026-01-11,0.0,0.009012816,1.2304857,0.5,0.0,TwoStage
8,METFORMINA 850MG,2026-01-11,0.0,0.07784895,1.2536242,0.5,0.0,TwoStage
8,PARACETAMOL 500MG,2026-01-11,0.0,0.017539697,1.2304857,0.5,0.0,TwoStage
8,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.2733017,1.7084119,0.5,0.0,TwoStage
9,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
9,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
9,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
9,ENALAPRIL 10MG,2026-01-11,0.0,0.11866769,1.266043,0.5,0.0,TwoStage
9,METFORMINA 850MG,2026-01-11,0.0,0.12712921,1.3199389,0.5,0.0,TwoStage
9,PARACETAMOL 500MG,2026-01-11,0.0,0.16877851,1.3697642,0.5,0.0,TwoStage
9,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.29175422,1.792078,0.5,0.0,TwoStage
10,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.1817704,0.5,0.0,TwoStage
10,AZITROMICINA 500MG,2026-01-11,1.0,0.023656232,1.1817704,0.5,0.0,TwoStage
10,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.1817704,0.5,0.0,TwoStage
10,ENALAPRIL 10MG,2026-01-11,0.0,0.16316088,1.1628588,0.5,0.0,TwoStage
10,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.1817704,0.5,0.0,TwoStage
10,METFORMINA 850MG,2026-01-11,0.0,0.12712921,1.2045143,0.5,0.0,TwoStage
10,PARACETAMOL 500MG,2026-01-11,0.0,0.15299313,1.2543396,0.5,0.0,TwoStage
10,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.48651668,1.7273608,0.5,0.0,TwoStage
11,AMOXICILINA 500MG,2026-01-11,0.0,0.025896909,1.1526179,0.5,0.0,TwoStage
11,AZITROMICINA 500MG,2026-01-11,0.0,0.02048542,1.1526179,0.5,0.0,TwoStage
11,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.013205344,1.1526179,0.5,0.0,TwoStage
11,ENALAPRIL 10MG,2026-01-11,0.0,0.09194454,1.0488967,0.5,0.0,TwoStage
11,IBUPROFENO TABX800,2026-01-11,0.0,0.011747495,1.1526179,0.5,0.0,TwoStage
11,METFORMINA 850MG,2026-01-11,0.0,0.044395156,1.1757565,0.5,0.0,TwoStage
11,PARACETAMOL 500MG,2026-01-11,0.0,0.08379612,1.1526179,0.5,0.0,TwoStage
11,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.24688959,1.5066245,0.5,0.0,TwoStage
12,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
12,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
12,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
12,ENALAPRIL 10MG,2026-01-11,0.0,0.11866769,1.1934738,0.5,0.0,TwoStage
12,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
12,METFORMINA 850MG,2026-01-11,0.0,0.12841891,1.3929027,0.5,0.0,TwoStage
12,PARACETAMOL 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
12,VITAMINA C+ZINC+D3,2026-01-11,1.0,0.3564058,1.792078,0.5,0.0,TwoStage
13,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.099021,0.5,0.0,TwoStage
13,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.039012335,1.099021,0.5,0.0,TwoStage
13,ENALAPRIL 10MG,2026-01-11,0.0,0.13655111,1.069258,0.5,0.0,TwoStage
13,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.099021,0.5,0.0,TwoStage
13,METFORMINA 850MG,2026-01-11,0.0,0.051073838,1.1221595,0.5,0.0,TwoStage
13,OMEPRAZOL 20MG,2026-01-11,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,PARACETAMOL 500MG,2026-01-11,0.0,0.029879782,1.099021,0.5,0.0,TwoStage
13,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.34629926,1.5369935,0.5,0.0,TwoStage
14,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
14,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
14,ENALAPRIL 10MG,2026-01-11,0.0,0.104990505,1.1934738,0.5,0.0,TwoStage
14,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
14,METFORMINA 850MG,2026-01-11,0.0,0.17809558,1.4115409,0.5,0.0,TwoStage
14,VITAMINA C+ZINC+D3,2026-01-11,2.0,0.29720274,1.792078,0.5,0.0,TwoStage
15,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
15,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
15,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
15,ENALAPRIL 10MG,2026-01-11,0.0,0.16316088,1.2057143,0.5,0.0,TwoStage
15,IBUPROFENO TABX800,2026-01-11,0.0,0.027747393,1.2971951,0.5,0.0,TwoStage
15,METFORMINA 850MG,2026-01-11,0.0,0.051073838,1.3203336,0.5,0.0,TwoStage
15,PARACETAMOL 500MG,2026-01-11,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
15,VITAMINA C+ZINC+D3,2026-01-11,2.0,0.5610414,1.8650193,0.5,1.8650193,TwoStage
16,AMOXICILINA 500MG,2026-01-11,0.0,0.029879782,1.397539,0.5,0.0,TwoStage
16,AZITROMICINA 500MG,2026-01-11,0.0,0.023656232,1.397539,0.5,0.0,TwoStage
16,DIMENHIDRINATO 50MG,2026-01-11,0.0,0.014772549,1.397539,0.5,0.0,TwoStage
16,ENALAPRIL 10MG,2026-01-11,0.0,0.13655111,1.2938178,0.5,0.0,TwoStage
16,IBUPROFENO TABX800,2026-01-11,0.0,0.012120696,1.397539,0.5,0.0,TwoStage
16,METFORMINA 850MG,2026-01-11,0.0,0.10017464,1.4206775,0.5,0.0,TwoStage
16,PARACETAMOL 500MG,2026-01-11,0.0,0.029879782,1.397539,0.5,0.0,TwoStage
16,VITAMINA C+ZINC+D3,2026-01-11,0.0,0.5564954,1.6858016,0.5,1.6858016,TwoStage
1,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
1,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
1,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
1,ENALAPRIL 10MG,2026-01-18,0.0,0.13655111,1.1934738,0.5,0.0,TwoStage
1,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
1,LOPERAMIDA 2MG,2026-01-18,0.0,0.044685494,1.2971951,0.5,0.0,TwoStage
1,METFORMINA 850MG,2026-01-18,0.0,0.16160819,1.3203336,0.5,0.0,TwoStage
1,PARACETAMOL 500MG,2026-01-18,0.0,0.12131702,1.2971951,0.5,0.0,TwoStage
1,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.48191163,1.8941833,0.5,0.0,TwoStage
2,AMOXICILINA 500MG,2026-01-18,0.0,0.119319506,1.3112217,0.5,0.0,TwoStage
2,AZITROMICINA 500MG,2026-01-18,0.0,0.023224222,1.3112217,0.5,0.0,TwoStage
