condicion,producto,registros,suma_cantidad,productos_afectados
cantidad_cero_unidades_positivas,__TOTAL__,40928,0.0,13
cantidad_cero_unidades_positivas,AMOXICILINA 500MG,1869,0.0,1
cantidad_cero_unidades_positivas,AZITROMICINA 500MG,3014,0.0,1
cantidad_cero_unidades_positivas,CETIRIZINA 10MG,7419,0.0,1
cantidad_cero_unidades_positivas,DIMENHIDRINATO 50MG,1546,0.0,1
cantidad_cero_unidades_positivas,ENALAPRIL 10MG,2152,0.0,1
cantidad_cero_unidades_positivas,IBUPROFENO TABX800,1645,0.0,1
cantidad_cero_unidades_positivas,LOPERAMIDA 2MG,568,0.0,1
cantidad_cero_unidades_positivas,LORATADINA 10MG,2163,0.0,1
cantidad_cero_unidades_positivas,LOSARTAN 50MG,1936,0.0,1
cantidad_cero_unidades_positivas,METFORMINA 850MG,396,0.0,1
cantidad_cero_unidades_positivas,NAPROXENO TABX550MG,11411,0.0,1
cantidad_cero_unidades_positivas,OMEPRAZOL 20MG,335,0.0,1
cantidad_cero_unidades_positivas,PARACETAMOL 500MG,6474,0.0,1
cantidad_positiva_unidades_positivas,__TOTAL__,0,0.0,0
cantidad_negativa,__TOTAL__,74,-93.0,10
cantidad_negativa,AMOXICILINA 500MG,4,-14.0,1
cantidad_negativa,AZITROMICINA 500MG,2,-3.0,1
cantidad_negativa,CETIRIZINA 10MG,2,-2.0,1
cantidad_negativa,DIMENHIDRINATO 50MG,1,-1.0,1
cantidad_negativa,ENALAPRIL 10MG,8,-8.0,1
cantidad_negativa,LOSARTAN 50MG,8,-9.0,1
cantidad_negativa,METFORMINA 850MG,7,-9.0,1
cantidad_negativa,NAPROXENO TABX550MG,5,-6.0,1
cantidad_negativa,PARACETAMOL 500MG,3,-3.0,1
cantidad_negativa,VITAMINA C+ZINC+D3,34,-38.0,1
