codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc,dia
101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,0.0,4.0,4.0,2025-04-09 09:54:00,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación),2025-04-09
101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,1.0,0.0,30.0,2025-04-09 11:05:31,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación),2025-04-09
101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,-1.0,0.0,-30.0,2025-04-09 11:13:00,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación),2025-04-09
101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,0.0,10.0,10.0,2025-04-09 11:14:12,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación),2025-04-09
101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,0.0,2.0,2.0,2025-04-09 19:38:30,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación),2025-04-09
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,1.0,0.0,9.5,2025-10-30 18:14:18,1,10,Primavera,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-10-30
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2025-10-30 18:22:31,1,10,Primavera,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-10-30
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2025-10-30 18:23:11,1,10,Primavera,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-10-30
102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.0,2024-01-03 12:00:00,1,1,Verano,LOSARTAN 50MG,Clase B (Rotación Media),2024-01-03
102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,1.0,0.0,20.0,2024-01-03 16:50:14,1,1,Verano,LOSARTAN 50MG,Clase B (Rotación Media),2024-01-03
102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,1.0,0.0,20.0,2024-01-03 16:54:13,1,1,Verano,LOSARTAN 50MG,Clase B (Rotación Media),2024-01-03
