,completo_cantidad_neta_original,completo_cantidad,evaluable_cantidad_neta_original,evaluable_cantidad
count,21123.0,21123.0,20979.0,20979.0
mean,0.14988401268759172,0.1504047720494248,0.15024548357881692,0.1507698174364841
std,0.5779567895227086,0.5736688250226831,0.5789893191570539,0.5746792357636933
min,-10.0,0.0,-10.0,0.0
25%,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0
max,14.0,14.0,14.0,14.0
median,0.0,0.0,0.0,0.0
porcentaje_ceros,90.45590115040477,90.4653695024381,90.43805710472377,90.44759044759044
valores_positivos,2014.0,2014.0,2004.0,2004.0
valores_negativos,2.0,0.0,2.0,0.0
