indice_original,codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc
412,108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-1.0,0.0,-30.0,2024-10-24 12:00:00,9,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación)
1173,108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-2.0,0.0,-50.0,2025-10-15 10:10:22,2,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación)
1253,108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-10.0,0.0,-250.0,2025-10-30 12:00:00,3,10,Primavera,AMOXICILINA 500MG,Clase C (Baja Rotación)
1479,108176,AMOXICILINA 500MG CAP CJAX100UND,PHARMA GENERICOS,-1.0,0.0,-25.0,2025-12-13 17:23:41,2,12,Verano,AMOXICILINA 500MG,Clase C (Baja Rotación)
3612,101069,AZITROMICINA 500MG TAB CJAX30UNID.,ACFARMA GENERICO,-1.0,0.0,-30.0,2025-04-09 11:13:00,1,4,Otoño,AZITROMICINA 500MG,Clase C (Baja Rotación)
4127,101069,AZITROMICINA 500MG TAB CJAX30UND,ACFARMA GENERICO,-2.0,0.0,-66.0,2025-10-25 11:44:38,12,10,Primavera,AZITROMICINA 500MG,Clase C (Baja Rotación)
6117,100073,CETIRIZINA 10MG CJAX100TAB,PERUFARMA GENERICO,-1.0,0.0,-10.0,2024-04-24 12:00:00,2,4,Otoño,CETIRIZINA 10MG,Clase B (Rotación Media)
12394,100073,CETIRIZINA 10MG TAB. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-9.0,2025-10-28 12:00:00,9,10,Primavera,CETIRIZINA 10MG,Clase B (Rotación Media)
13471,102932,DIMENHIDRINATO 50MG TAB CJAX100UND,PORTUGAL GENERICO,-1.0,0.0,-8.0,2025-10-30 12:00:00,3,10,Primavera,DIMENHIDRINATO 50MG,Clase C (Baja Rotación)
15086,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-10.0,2025-03-02 19:30:15,2,3,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación)
15159,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-10.0,2025-04-03 13:30:30,4,4,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación)
15627,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2025-10-30 18:22:31,1,10,Primavera,ENALAPRIL 10MG,Clase A (Alta Rotación)
15628,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2025-10-30 18:23:11,1,10,Primavera,ENALAPRIL 10MG,Clase A (Alta Rotación)
15850,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2026-01-22 09:43:33,12,1,Verano,ENALAPRIL 10MG,Clase A (Alta Rotación)
15881,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2026-01-30 11:59:29,10,1,Verano,ENALAPRIL 10MG,Clase A (Alta Rotación)
16157,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.5,2026-04-10 09:25:28,15,4,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación)
16454,101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-9.0,2026-06-09 19:53:02,10,6,Invierno,ENALAPRIL 10MG,Clase A (Alta Rotación)
21101,102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.0,2024-01-03 12:00:00,1,1,Verano,LOSARTAN 50MG,Clase B (Rotación Media)
21237,102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.7,2024-01-27 12:00:00,10,1,Verano,LOSARTAN 50MG,Clase B (Rotación Media)
21316,102721,LOSARTAN 50MGX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.7,2024-02-20 12:00:00,1,2,Verano,LOSARTAN 50MG,Clase B (Rotación Media)
21713,102721,LOSARTAN 50MG CJAX100TAB,PERUFARMA GENERICO,-1.0,0.0,-20.0,2024-05-31 12:00:00,5,5,Otoño,LOSARTAN 50MG,Clase B (Rotación Media)
22518,102721,LOSARTAN 50MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-20.0,2025-03-31 19:37:00,10,3,Otoño,LOSARTAN 50MG,Clase B (Rotación Media)
22645,102721,LOSARTAN 50MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-20.0,2025-04-26 12:00:00,12,4,Otoño,LOSARTAN 50MG,Clase B (Rotación Media)
22790,102721,LOSARTAN 50MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-20.0,2025-05-17 23:04:35,15,5,Otoño,LOSARTAN 50MG,Clase B (Rotación Media)
23177,102721,LOSARTAN 50MG COM. REC CJAX100UND,PERUFARMA GENERICO,-2.0,0.0,-39.2,2025-09-16 18:26:38,1,9,Primavera,LOSARTAN 50MG,Clase B (Rotación Media)
23380,100018,METFORMINA 850MG CJAX30TAB,GENFAR,-1.0,0.0,-12.0,2024-03-08 12:00:00,6,3,Otoño,METFORMINA 850MG,Clase B (Rotación Media)
23460,100018,METFORMINA 850MG CJAX30TAB,GENFAR,-2.0,0.0,-18.0,2024-05-31 12:00:00,5,5,Otoño,METFORMINA 850MG,Clase B (Rotación Media)
23616,100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-9.0,2024-12-13 08:17:10,2,12,Verano,METFORMINA 850MG,Clase B (Rotación Media)
23680,100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-2.0,0.0,-16.0,2025-05-03 12:00:00,9,5,Otoño,METFORMINA 850MG,Clase B (Rotación Media)
23828,100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-9.0,2025-12-27 10:00:33,9,12,Verano,METFORMINA 850MG,Clase B (Rotación Media)
23878,100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-10.5,2026-04-25 20:21:08,16,4,Otoño,METFORMINA 850MG,Clase B (Rotación Media)
23961,100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-10.0,2026-07-30 09:36:13,7,7,Invierno,METFORMINA 850MG,Clase B (Rotación Media)
26028,102759,NAPROXENO TABX550MGX100UND,PERUFARMA GENERICO,-1.0,0.0,-30.0,2024-05-09 12:00:00,10,5,Otoño,NAPROXENO TABX550MG,Clase C (Baja Rotación)
27163,102759,NAPROXENO 550MG TAB CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-33.3,2024-07-14 12:00:00,5,7,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación)
33103,102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,-2.0,0.0,-60.0,2025-06-05 11:57:22,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación)
35309,102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-33.0,2025-10-25 10:13:02,12,10,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación)
35532,102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-33.0,2025-11-07 18:39:54,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación)
36064,100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,-1.0,0.0,-10.01,2024-01-06 12:00:00,4,1,Verano,PARACETAMOL 500MG,Clase B (Rotación Media)
36699,100923,PARACETAMOL 500MG CJAX100TAB,GENFAR,-1.0,0.0,-10.0,2024-02-13 12:00:00,1,2,Verano,PARACETAMOL 500MG,Clase B (Rotación Media)
39638,100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,-1.0,0.0,-9.02,2025-11-07 18:39:54,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media)
42624,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-03-09 12:00:00,1,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42648,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-03-14 12:00:00,6,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42676,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-2.0,0.0,-31.0,2024-03-25 12:00:00,5,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42713,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-04-13 12:00:00,3,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42718,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-2.0,0.0,-31.0,2024-04-17 12:00:00,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42734,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-04-23 12:00:00,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42747,107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-1.0,0.0,-15.5,2024-04-28 12:00:00,12,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
42998,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.4,2024-11-13 12:00:00,12,11,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43008,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-2.0,0.0,-30.8,2024-11-20 12:00:00,4,11,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43039,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.4,2024-12-05 12:00:00,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43041,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2024-12-07 12:00:00,4,12,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43150,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-01-28 11:28:11,15,1,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43162,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-02-01 12:00:00,12,2,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43172,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.44,2025-02-05 12:00:00,11,2,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43203,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-02-17 17:28:07,1,2,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43280,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-03-19 12:00:00,11,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43290,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-2.0,0.0,-30.4,2025-03-23 19:41:48,2,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43333,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-04-10 12:00:00,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43513,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-06-19 18:56:52,15,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43553,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-04 18:38:15,10,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43584,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-12 22:10:39,16,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43605,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-24 12:00:00,3,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43713,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-09-20 11:27:02,16,9,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
