sucursal,producto,registros_raw,registros_analiticos
1,AMOXICILINA 500MG,152,152
1,AZITROMICINA 500MG,343,342
1,CETIRIZINA 10MG,733,733
1,DIMENHIDRINATO 50MG,213,213
1,ENALAPRIL 10MG,200,198
1,IBUPROFENO TABX800,142,142
1,LOPERAMIDA 2MG,65,65
1,LORATADINA 10MG,285,285
1,LOSARTAN 50MG,285,282
1,METFORMINA 850MG,61,61
1,NAPROXENO TABX550MG,1124,1124
1,OMEPRAZOL 20MG,41,41
1,PARACETAMOL 500MG,611,610
1,VITAMINA C+ZINC+D3,145,142
2,AMOXICILINA 500MG,149,147
2,AZITROMICINA 500MG,297,297
2,CETIRIZINA 10MG,671,670
2,DIMENHIDRINATO 50MG,106,106
2,ENALAPRIL 10MG,199,198
2,IBUPROFENO TABX800,147,147
2,LOPERAMIDA 2MG,38,38
2,LORATADINA 10MG,156,156
2,LOSARTAN 50MG,147,147
2,METFORMINA 850MG,51,50
2,NAPROXENO TABX550MG,982,980
2,OMEPRAZOL 20MG,59,59
2,PARACETAMOL 500MG,757,756
2,VITAMINA C+ZINC+D3,199,195
3,AMOXICILINA 500MG,128,127
3,AZITROMICINA 500MG,216,216
3,CETIRIZINA 10MG,625,625
3,DIMENHIDRINATO 50MG,108,107
3,ENALAPRIL 10MG,209,209
3,IBUPROFENO TABX800,155,155
3,LOPERAMIDA 2MG,40,40
3,LORATADINA 10MG,181,181
3,LOSARTAN 50MG,256,256
3,METFORMINA 850MG,28,28
3,NAPROXENO TABX550MG,910,910
3,OMEPRAZOL 20MG,29,29
3,PARACETAMOL 500MG,499,499
3,VITAMINA C+ZINC+D3,158,156
4,AMOXICILINA 500MG,119,119
4,AZITROMICINA 500MG,176,176
4,CETIRIZINA 10MG,573,573
4,DIMENHIDRINATO 50MG,85,85
4,ENALAPRIL 10MG,160,159
4,IBUPROFENO TABX800,113,113
4,LOPERAMIDA 2MG,4,4
4,LORATADINA 10MG,125,125
4,LOSARTAN 50MG,182,182
4,METFORMINA 850MG,45,45
4,NAPROXENO TABX550MG,705,705
4,PARACETAMOL 500MG,413,412
4,VITAMINA C+ZINC+D3,175,172
5,AMOXICILINA 500MG,207,207
5,AZITROMICINA 500MG,314,314
5,CETIRIZINA 10MG,941,941
5,DIMENHIDRINATO 50MG,100,100
5,ENALAPRIL 10MG,195,195
5,IBUPROFENO TABX800,185,185
5,LOPERAMIDA 2MG,28,28
5,LORATADINA 10MG,282,282
5,LOSARTAN 50MG,215,214
5,METFORMINA 850MG,82,81
5,NAPROXENO TABX550MG,1299,1298
5,OMEPRAZOL 20MG,37,37
5,PARACETAMOL 500MG,874,874
5,VITAMINA C+ZINC+D3,224,221
6,AMOXICILINA 500MG,174,174
6,AZITROMICINA 500MG,206,206
6,CETIRIZINA 10MG,649,649
6,DIMENHIDRINATO 50MG,102,102
6,ENALAPRIL 10MG,208,208
6,IBUPROFENO TABX800,105,105
6,LOPERAMIDA 2MG,84,84
6,LORATADINA 10MG,192,192
6,LOSARTAN 50MG,275,275
6,METFORMINA 850MG,51,50
6,NAPROXENO TABX550MG,1337,1337
6,OMEPRAZOL 20MG,36,36
6,PARACETAMOL 500MG,641,641
6,VITAMINA C+ZINC+D3,143,142
7,AMOXICILINA 500MG,142,142
7,AZITROMICINA 500MG,249,249
7,CETIRIZINA 10MG,551,551
7,DIMENHIDRINATO 50MG,94,94
7,ENALAPRIL 10MG,147,147
7,IBUPROFENO TABX800,141,141
7,LOPERAMIDA 2MG,4,4
7,LORATADINA 10MG,109,109
7,LOSARTAN 50MG,187,187
7,METFORMINA 850MG,47,46
7,NAPROXENO TABX550MG,780,780
7,PARACETAMOL 500MG,523,523
7,VITAMINA C+ZINC+D3,86,86
8,AMOXICILINA 500MG,123,123
8,AZITROMICINA 500MG,149,149
8,CETIRIZINA 10MG,352,352
8,DIMENHIDRINATO 50MG,81,81
8,ENALAPRIL 10MG,67,67
8,IBUPROFENO TABX800,69,69
8,LOPERAMIDA 2MG,31,31
8,LORATADINA 10MG,135,135
8,LOSARTAN 50MG,98,98
8,METFORMINA 850MG,41,41
8,NAPROXENO TABX550MG,512,512
8,OMEPRAZOL 20MG,21,21
8,PARACETAMOL 500MG,299,299
8,VITAMINA C+ZINC+D3,37,37
9,AMOXICILINA 500MG,211,210
9,AZITROMICINA 500MG,285,285
9,CETIRIZINA 10MG,537,536
9,DIMENHIDRINATO 50MG,95,95
9,ENALAPRIL 10MG,208,208
9,IBUPROFENO TABX800,132,132
9,LOPERAMIDA 2MG,43,43
9,LORATADINA 10MG,136,136
9,LOSARTAN 50MG,179,179
9,METFORMINA 850MG,47,45
9,NAPROXENO TABX550MG,1001,1001
9,OMEPRAZOL 20MG,30,30
9,PARACETAMOL 500MG,525,525
9,VITAMINA C+ZINC+D3,55,54
10,AMOXICILINA 500MG,66,66
10,AZITROMICINA 500MG,170,170
10,CETIRIZINA 10MG,455,455
10,DIMENHIDRINATO 50MG,111,111
10,ENALAPRIL 10MG,171,169
10,IBUPROFENO TABX800,78,78
10,LOPERAMIDA 2MG,46,46
10,LORATADINA 10MG,135,135
10,LOSARTAN 50MG,148,146
10,METFORMINA 850MG,36,36
10,NAPROXENO TABX550MG,735,734
10,PARACETAMOL 500MG,346,346
10,VITAMINA C+ZINC+D3,127,122
11,AMOXICILINA 500MG,110,110
11,AZITROMICINA 500MG,188,188
11,CETIRIZINA 10MG,297,297
11,DIMENHIDRINATO 50MG,83,83
11,ENALAPRIL 10MG,281,281
11,IBUPROFENO TABX800,98,98
11,LOPERAMIDA 2MG,16,16
11,LORATADINA 10MG,92,92
11,LOSARTAN 50MG,58,58
11,METFORMINA 850MG,12,12
11,NAPROXENO TABX550MG,511,511
11,OMEPRAZOL 20MG,17,17
11,PARACETAMOL 500MG,245,245
11,VITAMINA C+ZINC+D3,65,61
12,AMOXICILINA 500MG,128,128
12,AZITROMICINA 500MG,129,128
12,CETIRIZINA 10MG,434,434
12,DIMENHIDRINATO 50MG,120,120
12,ENALAPRIL 10MG,138,137
12,IBUPROFENO TABX800,73,73
12,LOPERAMIDA 2MG,3,3
12,LORATADINA 10MG,145,145
12,LOSARTAN 50MG,100,99
12,METFORMINA 850MG,33,33
12,NAPROXENO TABX550MG,652,651
12,PARACETAMOL 500MG,254,254
12,VITAMINA C+ZINC+D3,140,137
13,AMOXICILINA 500MG,122,122
13,AZITROMICINA 500MG,89,89
13,CETIRIZINA 10MG,207,207
13,DIMENHIDRINATO 50MG,76,76
13,ENALAPRIL 10MG,90,90
13,IBUPROFENO TABX800,65,65
13,LORATADINA 10MG,61,61
13,LOSARTAN 50MG,42,42
13,METFORMINA 850MG,11,11
13,NAPROXENO TABX550MG,343,343
13,OMEPRAZOL 20MG,42,42
13,PARACETAMOL 500MG,108,108
13,VITAMINA C+ZINC+D3,44,44
14,AMOXICILINA 500MG,11,11
14,AZITROMICINA 500MG,98,98
14,CETIRIZINA 10MG,190,190
14,DIMENHIDRINATO 50MG,48,48
14,ENALAPRIL 10MG,56,56
14,IBUPROFENO TABX800,35,35
14,LORATADINA 10MG,56,56
14,LOSARTAN 50MG,28,28
14,METFORMINA 850MG,43,43
14,NAPROXENO TABX550MG,352,352
14,OMEPRAZOL 20MG,27,27
14,PARACETAMOL 500MG,65,65
14,VITAMINA C+ZINC+D3,82,82
15,AMOXICILINA 500MG,20,20
15,AZITROMICINA 500MG,61,61
15,CETIRIZINA 10MG,212,212
15,DIMENHIDRINATO 50MG,43,43
15,ENALAPRIL 10MG,36,35
15,IBUPROFENO TABX800,41,41
15,LOPERAMIDA 2MG,5,5
15,LORATADINA 10MG,75,75
15,LOSARTAN 50MG,30,29
15,METFORMINA 850MG,11,11
15,NAPROXENO TABX550MG,242,242
15,OMEPRAZOL 20MG,8,8
15,PARACETAMOL 500MG,93,93
15,VITAMINA C+ZINC+D3,122,120
16,AMOXICILINA 500MG,19,19
16,AZITROMICINA 500MG,50,50
16,CETIRIZINA 10MG,128,128
16,DIMENHIDRINATO 50MG,72,72
