sucursal,producto,semana,cantidad_anterior,cantidad_depurada
1,AZITROMICINA 500MG,2025-04-13,0.0,1.0
1,ENALAPRIL 10MG,2025-11-02,1.0,3.0
1,LOSARTAN 50MG,2024-01-07,2.0,3.0
1,LOSARTAN 50MG,2024-02-25,0.0,1.0
1,LOSARTAN 50MG,2025-09-21,3.0,5.0
1,PARACETAMOL 500MG,2024-02-18,1.0,2.0
1,VITAMINA C+ZINC+D3,2024-03-10,1.0,2.0
1,VITAMINA C+ZINC+D3,2025-02-23,3.0,4.0
1,VITAMINA C+ZINC+D3,2026-07-05,2.0,3.0
2,AMOXICILINA 500MG,2025-10-19,2.0,4.0
2,AMOXICILINA 500MG,2025-12-14,1.0,2.0
2,CETIRIZINA 10MG,2024-04-28,0.0,1.0
2,ENALAPRIL 10MG,2025-03-02,2.0,3.0
2,METFORMINA 850MG,2024-12-15,2.0,3.0
2,NAPROXENO TABX550MG,2025-06-08,2.0,4.0
2,NAPROXENO TABX550MG,2025-11-09,1.0,2.0
2,PARACETAMOL 500MG,2025-11-09,1.0,2.0
2,VITAMINA C+ZINC+D3,2024-04-21,3.0,5.0
2,VITAMINA C+ZINC+D3,2025-03-23,2.0,4.0
2,VITAMINA C+ZINC+D3,2025-10-05,3.0,4.0
2,VITAMINA C+ZINC+D3,2026-04-19,0.0,1.0
3,VITAMINA C+ZINC+D3,2024-04-14,1.0,2.0
3,VITAMINA C+ZINC+D3,2025-07-27,1.0,2.0
4,ENALAPRIL 10MG,2025-04-06,0.0,1.0
4,PARACETAMOL 500MG,2024-01-07,1.0,2.0
4,VITAMINA C+ZINC+D3,2024-11-24,2.0,4.0
4,VITAMINA C+ZINC+D3,2024-12-08,0.0,2.0
5,LOSARTAN 50MG,2024-06-02,2.0,3.0
5,METFORMINA 850MG,2024-06-02,0.0,2.0
5,NAPROXENO TABX550MG,2024-07-14,1.0,2.0
5,VITAMINA C+ZINC+D3,2024-03-31,3.0,5.0
5,VITAMINA C+ZINC+D3,2024-04-28,6.0,7.0
5,VITAMINA C+ZINC+D3,2025-04-13,4.0,5.0
6,METFORMINA 850MG,2024-03-10,0.0,1.0
6,VITAMINA C+ZINC+D3,2024-03-17,1.0,2.0
7,METFORMINA 850MG,2026-08-02,0.0,1.0
9,AMOXICILINA 500MG,2024-10-27,1.0,2.0
9,CETIRIZINA 10MG,2025-11-02,2.0,3.0
9,METFORMINA 850MG,2025-05-04,2.0,4.0
9,METFORMINA 850MG,2025-12-28,0.0,1.0
9,VITAMINA C+ZINC+D3,2026-04-19,2.0,3.0
10,ENALAPRIL 10MG,2026-02-01,2.0,3.0
10,ENALAPRIL 10MG,2026-06-14,1.0,2.0
10,LOSARTAN 50MG,2024-01-28,2.0,3.0
10,LOSARTAN 50MG,2025-04-06,0.0,1.0
10,NAPROXENO TABX550MG,2024-05-12,1.0,2.0
10,VITAMINA C+ZINC+D3,2025-07-06,3.0,4.0
10,VITAMINA C+ZINC+D3,2026-03-08,4.0,5.0
10,VITAMINA C+ZINC+D3,2026-03-29,1.0,3.0
10,VITAMINA C+ZINC+D3,2026-04-12,1.0,2.0
11,VITAMINA C+ZINC+D3,2025-02-09,2.0,3.0
11,VITAMINA C+ZINC+D3,2025-03-23,0.0,1.0
11,VITAMINA C+ZINC+D3,2026-04-05,1.0,2.0
11,VITAMINA C+ZINC+D3,2026-06-07,2.0,3.0
12,AZITROMICINA 500MG,2025-10-26,0.0,2.0
12,ENALAPRIL 10MG,2026-01-25,0.0,1.0
12,LOSARTAN 50MG,2025-04-27,1.0,2.0
12,NAPROXENO TABX550MG,2025-10-26,1.0,2.0
12,VITAMINA C+ZINC+D3,2024-04-28,5.0,6.0
12,VITAMINA C+ZINC+D3,2024-11-17,2.0,3.0
12,VITAMINA C+ZINC+D3,2025-02-02,2.0,3.0
15,ENALAPRIL 10MG,2026-04-12,0.0,1.0
15,LOSARTAN 50MG,2025-05-18,0.0,1.0
15,VITAMINA C+ZINC+D3,2025-02-02,3.0,4.0
15,VITAMINA C+ZINC+D3,2025-06-22,2.0,3.0
16,METFORMINA 850MG,2026-04-26,1.0,2.0
16,VITAMINA C+ZINC+D3,2025-07-13,2.0,3.0
16,VITAMINA C+ZINC+D3,2025-09-21,2.0,3.0
16,VITAMINA C+ZINC+D3,2026-01-04,2.0,3.0
