sucursal,producto,ADI,CV2,porcentaje_ceros,clasificacion_demanda,grupo_demanda,n_semanas,n_semanas_demanda_positiva,media_demanda_positiva,desviacion_demanda_positiva,periodo_clasificacion,inicio_train,fin_train,CV2_estimable,intervalo_ceros,en_poblacion_comun
1,AMOXICILINA 500MG,82.0,,98.78048780487805,positivas_insuficientes,mayor_intermitencia,82,1,1.0,,TRAIN anterior a 2026-01-01,2024-06-09,2025-12-28,False,Q3,True
1,AZITROMICINA 500MG,14.857142857142858,1.4911242603550288,93.26923076923077,lumpy,mayor_intermitencia,104,7,1.8571428571428572,2.267786838055363,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
1,CETIRIZINA 10MG,12.125,0.09876543209876545,91.75257731958763,intermitente,mayor_intermitencia,97,8,1.125,0.3535533905932738,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
1,DIMENHIDRINATO 50MG,52.0,0.22222222222222227,98.07692307692307,intermitente,mayor_intermitencia,104,2,1.5,0.7071067811865476,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q3,True
1,ENALAPRIL 10MG,4.0,0.262334693877551,75.0,intermitente,mayor_intermitencia,104,26,1.3461538461538463,0.6894814104706634,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
1,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
1,LOPERAMIDA 2MG,101.0,,99.00990099009901,positivas_insuficientes,mayor_intermitencia,101,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,False,Q3,True
1,LORATADINA 10MG,48.5,0.0,97.9381443298969,intermitente,mayor_intermitencia,97,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
1,LOSARTAN 50MG,2.5526315789473686,0.516185279973001,60.824742268041234,lumpy,mayor_intermitencia,97,38,1.631578947368421,1.172224787768251,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
1,METFORMINA 850MG,5.315789473684211,0.23746380124980954,81.1881188118812,intermitente,mayor_intermitencia,101,19,1.4210526315789473,0.6924826089821247,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,True,Q1,True
1,NAPROXENO TABX550MG,9.7,0.24943310657596376,89.69072164948454,intermitente,mayor_intermitencia,97,10,1.4,0.6992058987801011,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
1,OMEPRAZOL 20MG,15.0,,93.33333333333333,positivas_insuficientes,mayor_intermitencia,15,1,1.0,,TRAIN anterior a 2026-01-01,2024-11-03,2025-02-09,False,,False
1,PARACETAMOL 500MG,13.0,0.29279811097992914,92.3076923076923,intermitente,mayor_intermitencia,104,8,1.375,0.7440238091428449,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
1,VITAMINA C+ZINC+D3,1.625,0.3030064517667823,38.46153846153847,intermitente,mayor_intermitencia,104,64,1.890625,1.0407138499416242,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
2,AMOXICILINA 500MG,9.0,0.22222222222222227,88.88888888888889,intermitente,mayor_intermitencia,18,2,3.0,1.4142135623730951,TRAIN anterior a 2026-01-01,2025-08-31,2025-12-28,True,Q2,True
2,AZITROMICINA 500MG,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
2,CETIRIZINA 10MG,16.166666666666668,0.0,93.81443298969072,intermitente,mayor_intermitencia,97,6,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
2,DIMENHIDRINATO 50MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,100,0,,,TRAIN anterior a 2026-01-01,2024-02-04,2025-12-28,False,Q3,True
2,ENALAPRIL 10MG,4.333333333333333,0.17036379769299023,76.92307692307693,intermitente,mayor_intermitencia,104,24,1.1666666666666667,0.4815434123430768,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
2,IBUPROFENO TABX800,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
2,LOPERAMIDA 2MG,,,,sin_historia_train,sin_historia_train,0,0,,,TRAIN anterior a 2026-01-01,,,False,,False
2,LORATADINA 10MG,48.5,0.0,97.9381443298969,intermitente,mayor_intermitencia,97,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
2,LOSARTAN 50MG,5.705882352941177,0.20187500000000003,82.4742268041237,intermitente,mayor_intermitencia,97,17,1.1764705882352942,0.5285941398709244,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
2,METFORMINA 850MG,6.117647058823529,0.26913988657844995,83.65384615384616,intermitente,mayor_intermitencia,104,17,1.3529411764705883,0.701888209634219,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
2,NAPROXENO TABX550MG,10.777777777777779,0.45,90.72164948453609,intermitente,mayor_intermitencia,97,9,1.6666666666666667,1.118033988749895,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
2,OMEPRAZOL 20MG,17.0,,94.11764705882352,positivas_insuficientes,mayor_intermitencia,17,1,1.0,,TRAIN anterior a 2026-01-01,2024-11-03,2025-02-23,False,,False
2,PARACETAMOL 500MG,17.333333333333332,0.15000000000000005,94.23076923076923,intermitente,mayor_intermitencia,104,6,1.3333333333333333,0.5163977794943223,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
2,VITAMINA C+ZINC+D3,1.4444444444444444,0.3536034314496622,30.76923076923077,intermitente,mayor_intermitencia,104,72,2.3472222222222223,1.3957654492637266,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
3,AMOXICILINA 500MG,34.5,0.8888888888888891,97.10144927536231,lumpy,mayor_intermitencia,69,2,6.0,5.656854249492381,TRAIN anterior a 2026-01-01,2024-09-08,2025-12-28,True,Q2,True
3,AZITROMICINA 500MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
3,CETIRIZINA 10MG,12.125,0.20963651732882502,91.75257731958763,intermitente,mayor_intermitencia,97,8,1.625,0.7440238091428449,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
3,DIMENHIDRINATO 50MG,52.0,0.0,98.07692307692307,intermitente,mayor_intermitencia,104,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q3,True
3,ENALAPRIL 10MG,10.2,0.0,90.19607843137256,intermitente,mayor_intermitencia,102,10,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-21,2025-12-28,True,Q2,True
3,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
3,LOPERAMIDA 2MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,102,0,,,TRAIN anterior a 2026-01-01,2024-01-21,2025-12-28,False,Q3,True
3,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
3,LOSARTAN 50MG,5.473684210526316,0.19554715395925223,81.73076923076923,intermitente,mayor_intermitencia,104,19,1.2105263157894737,0.5353033790313108,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
3,METFORMINA 850MG,12.875,0.32622198217661363,92.23300970873787,intermitente,mayor_intermitencia,103,8,2.875,1.6420805617960927,TRAIN anterior a 2026-01-01,2024-01-14,2025-12-28,True,Q2,True
3,NAPROXENO TABX550MG,26.0,0.16000000000000003,96.15384615384616,intermitente,mayor_intermitencia,104,4,1.25,0.5,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,,False
3,OMEPRAZOL 20MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,27,0,,,TRAIN anterior a 2026-01-01,2024-09-15,2025-03-16,False,,False
3,PARACETAMOL 500MG,20.8,0.0,95.1923076923077,intermitente,mayor_intermitencia,104,5,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
3,VITAMINA C+ZINC+D3,1.625,0.2629515938606848,38.46153846153847,intermitente,mayor_intermitencia,104,64,1.71875,0.8813544770895048,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
4,AMOXICILINA 500MG,79.0,,98.73417721518987,positivas_insuficientes,mayor_intermitencia,79,1,1.0,,TRAIN anterior a 2026-01-01,2024-06-30,2025-12-28,False,Q3,True
4,AZITROMICINA 500MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
4,CETIRIZINA 10MG,16.333333333333332,0.0,93.87755102040816,intermitente,mayor_intermitencia,98,6,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-16,True,,False
4,DIMENHIDRINATO 50MG,102.0,,99.01960784313727,positivas_insuficientes,mayor_intermitencia,102,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-21,2025-12-28,False,Q3,True
4,ENALAPRIL 10MG,7.357142857142857,0.1009615384615385,86.40776699029125,intermitente,mayor_intermitencia,103,14,1.1428571428571428,0.3631365196012815,TRAIN anterior a 2026-01-01,2024-01-14,2025-12-28,True,Q1,True
4,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
4,LOPERAMIDA 2MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,101,0,,,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,False,Q3,True
4,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,96,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-02,False,,False
4,LOSARTAN 50MG,3.5555555555555554,0.17307692307692304,71.875,intermitente,mayor_intermitencia,96,27,1.3333333333333333,0.554700196225229,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-02,True,,False
4,METFORMINA 850MG,8.545454545454545,0.2603550295857988,88.29787234042553,intermitente,mayor_intermitencia,94,11,1.1818181818181819,0.6030226891555273,TRAIN anterior a 2026-01-01,2024-03-17,2025-12-28,True,Q1,True
4,NAPROXENO TABX550MG,97.0,,98.96907216494846,positivas_insuficientes,mayor_intermitencia,97,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,False,,False
4,PARACETAMOL 500MG,26.0,0.16000000000000003,96.15384615384616,intermitente,mayor_intermitencia,104,4,1.25,0.5,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,,False
4,VITAMINA C+ZINC+D3,1.6507936507936507,0.5070876255356097,39.42307692307692,lumpy,mayor_intermitencia,104,63,2.507936507936508,1.7859037277904972,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
5,AMOXICILINA 500MG,21.5,0.0,95.34883720930233,intermitente,mayor_intermitencia,86,4,1.0,0.0,TRAIN anterior a 2026-01-01,2024-05-12,2025-12-28,True,Q2,True
5,AZITROMICINA 500MG,52.0,0.22222222222222227,98.07692307692307,intermitente,mayor_intermitencia,104,2,1.5,0.7071067811865476,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q3,True
5,CETIRIZINA 10MG,12.375,0.0,91.91919191919192,intermitente,mayor_intermitencia,99,8,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-23,True,,False
5,DIMENHIDRINATO 50MG,34.666666666666664,0.18749999999999997,97.11538461538461,intermitente,mayor_intermitencia,104,3,1.3333333333333333,0.5773502691896257,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
5,ENALAPRIL 10MG,5.611111111111111,0.04986149584487535,82.17821782178217,intermitente,mayor_intermitencia,101,18,1.0555555555555556,0.23570226039551584,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,True,Q1,True
5,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
5,LOPERAMIDA 2MG,,,,sin_historia_train,sin_historia_train,0,0,,,TRAIN anterior a 2026-01-01,,,False,,False
5,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,97,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,False,,False
5,LOSARTAN 50MG,3.1666666666666665,0.42400869761431004,68.42105263157895,intermitente,mayor_intermitencia,95,30,1.3666666666666667,0.8899179866642238,TRAIN anterior a 2026-01-01,2024-01-07,2025-10-26,True,,False
5,METFORMINA 850MG,5.1,0.18259935553168638,80.3921568627451,intermitente,mayor_intermitencia,102,20,1.4,0.5982430416161189,TRAIN anterior a 2026-01-01,2024-01-21,2025-12-28,True,Q1,True
5,NAPROXENO TABX550MG,14.0,0.10937500000000004,92.85714285714286,intermitente,mayor_intermitencia,98,7,1.1428571428571428,0.3779644730092273,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-16,True,,False
5,OMEPRAZOL 20MG,39.0,,97.43589743589743,positivas_insuficientes,mayor_intermitencia,39,1,1.0,,TRAIN anterior a 2026-01-01,2024-12-08,2025-08-31,False,,False
5,PARACETAMOL 500MG,13.0,2.7485242030696573,92.3076923076923,lumpy,mayor_intermitencia,104,8,2.75,4.5591352563522705,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
