Modelo,Metrica,Series_minimo_exclusivo,Series_minimo_compartido,Series_minimo_incluyendo_empates,Series_totales,Tipo_serie_test
Regresión Lineal,MAE,2,0,2,63,sólo_ceros
Random Forest,MAE,23,0,23,63,sólo_ceros
XGBoost,MAE,2,0,2,63,sólo_ceros
ARIMA (Optimizado ADF/AIC),MAE,36,0,36,63,sólo_ceros
Regresión Lineal,RMSE,1,0,1,63,sólo_ceros
Random Forest,RMSE,21,0,21,63,sólo_ceros
XGBoost,RMSE,5,0,5,63,sólo_ceros
ARIMA (Optimizado ADF/AIC),RMSE,36,0,36,63,sólo_ceros
Regresión Lineal,MAE,6,0,6,66,alguna_demanda_positiva
Random Forest,MAE,11,0,11,66,alguna_demanda_positiva
XGBoost,MAE,12,0,12,66,alguna_demanda_positiva
ARIMA (Optimizado ADF/AIC),MAE,37,0,37,66,alguna_demanda_positiva
Regresión Lineal,RMSE,9,0,9,66,alguna_demanda_positiva
Random Forest,RMSE,15,0,15,66,alguna_demanda_positiva
XGBoost,RMSE,11,0,11,66,alguna_demanda_positiva
ARIMA (Optimizado ADF/AIC),RMSE,31,0,31,66,alguna_demanda_positiva
