sucursal,producto,semana,cantidad,lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,mes,semana_del_anio,trimestre
1,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
1,CETIRIZINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3,9,1
1,DIMENHIDRINATO 50MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3,9,1
1,ENALAPRIL 10MG,2024-03-03,0.0,0.0,0.0,0.0,1.0,0.5,0.5,3,9,1
1,IBUPROFENO TABX800,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
1,LORATADINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,1.0,0.0,0.125,3,9,1
1,LOSARTAN 50MG,2024-03-03,0.0,1.0,1.0,5.0,3.0,1.75,1.5,3,9,1
1,NAPROXENO TABX550MG,2024-03-03,0.0,0.0,0.0,0.0,1.0,0.25,0.375,3,9,1
1,PARACETAMOL 500MG,2024-03-03,0.0,0.0,2.0,1.0,0.0,0.75,0.375,3,9,1
1,VITAMINA C+ZINC+D3,2024-03-03,1.0,2.0,1.0,2.0,2.0,1.5,1.875,3,9,1
2,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,CETIRIZINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,ENALAPRIL 10MG,2024-03-03,0.0,0.0,0.0,1.0,1.0,0.25,0.25,3,9,1
2,IBUPROFENO TABX800,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,LORATADINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,LOSARTAN 50MG,2024-03-03,0.0,0.0,1.0,1.0,0.0,0.5,0.5,3,9,1
2,METFORMINA 850MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.25,0.25,3,9,1
2,NAPROXENO TABX550MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,PARACETAMOL 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
2,VITAMINA C+ZINC+D3,2024-03-03,1.0,1.0,0.0,2.0,3.0,1.0,2.625,3,9,1
3,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
3,CETIRIZINA 10MG,2024-03-03,0.0,1.0,0.0,0.0,0.0,0.25,0.125,3,9,1
3,DIMENHIDRINATO 50MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
3,IBUPROFENO TABX800,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
3,LORATADINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
3,LOSARTAN 50MG,2024-03-03,0.0,0.0,1.0,0.0,0.0,0.25,0.125,3,9,1
3,NAPROXENO TABX550MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
3,PARACETAMOL 500MG,2024-03-03,0.0,1.0,0.0,0.0,1.0,0.25,0.25,3,9,1
3,VITAMINA C+ZINC+D3,2024-03-03,1.0,1.0,1.0,0.0,1.0,0.75,0.625,3,9,1
4,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
4,CETIRIZINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.25,3,9,1
4,IBUPROFENO TABX800,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
4,LORATADINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
4,LOSARTAN 50MG,2024-03-03,1.0,2.0,2.0,0.0,0.0,1.25,1.0,3,9,1
4,NAPROXENO TABX550MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
4,PARACETAMOL 500MG,2024-03-03,0.0,0.0,1.0,0.0,2.0,0.25,0.375,3,9,1
4,VITAMINA C+ZINC+D3,2024-03-03,10.0,3.0,4.0,1.0,5.0,3.75,3.5,3,9,1
5,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
5,CETIRIZINA 10MG,2024-03-03,0.0,0.0,1.0,0.0,0.0,0.25,0.125,3,9,1
5,DIMENHIDRINATO 50MG,2024-03-03,0.0,0.0,2.0,0.0,0.0,0.5,0.25,3,9,1
5,IBUPROFENO TABX800,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
5,LORATADINA 10MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
5,LOSARTAN 50MG,2024-03-03,0.0,0.0,0.0,0.0,1.0,0.0,0.25,3,9,1
5,NAPROXENO TABX550MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
5,PARACETAMOL 500MG,2024-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1
5,VITAMINA C+ZINC+D3,2024-03-03,5.0,2.0,0.0,2.0,3.0,1.75,2.0,3,9,1
6,AZITROMICINA 500MG,2024-03-03,0.0,0.0,0.0,0.0,1.0,0.0,0.125,3,9,1
