Modelo,grupo_demanda,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias
Regresión Lineal,menor_intermitencia,0.8246023572143802,1.047635564062954,-0.07251492679756044,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
Random Forest,menor_intermitencia,0.8666044158989374,1.1091041038929124,-0.20206375889781758,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
XGBoost,menor_intermitencia,0.9024817923704783,1.1101536249989887,-0.2043398088909394,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
ARIMA (Optimizado ADF/AIC),menor_intermitencia,0.866578951193821,1.1144719732707185,-0.2137274715367381,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
Regresión Lineal,mayor_intermitencia,0.30745899821348616,0.6336380201700185,0.3013077512922705,2388,91,0.5746408971153927,1372.2424623115578,83.20770519262982,definido,
Random Forest,mayor_intermitencia,0.3030115794475889,0.6433172655647379,0.27979872951753104,2388,91,0.5746408971153927,1372.2424623115578,83.20770519262982,definido,
XGBoost,mayor_intermitencia,0.2972196036391272,0.6438965135707694,0.2785011956687511,2388,91,0.5746408971153927,1372.2424623115578,83.20770519262982,definido,
ARIMA (Optimizado ADF/AIC),mayor_intermitencia,0.3266032791856896,0.6817913308203892,0.1910784263437243,2388,91,0.5746408971153927,1372.2424623115578,83.20770519262982,definido,
Regresión Lineal,sin_demanda_positiva,0.0343127891799368,0.10470646773101011,-0.1319100413018619,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
Random Forest,sin_demanda_positiva,0.031483167724155416,0.10674419191297445,-0.17639562961364819,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
XGBoost,sin_demanda_positiva,0.03772027498078451,0.10160795217110942,-0.06590939941683116,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
ARIMA (Optimizado ADF/AIC),sin_demanda_positiva,0.007802095513331585,0.09872519411988001,-0.006284741511309644,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
