Modelo,Clasificacion_demanda,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias
Regresión Lineal,suave,0.8246023572143802,1.047635564062954,-0.07251492679756044,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
Random Forest,suave,0.8666044158989374,1.1091041038929124,-0.20206375889781758,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
XGBoost,suave,0.9024817923704783,1.1101536249989887,-0.2043398088909394,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
ARIMA (Optimizado ADF/AIC),suave,0.866578951193821,1.1144719732707185,-0.2137274715367381,30,1,1.0233333333333337,30.70000000000001,43.333333333333336,definido,una_sola_serie
Regresión Lineal,erratica,,,,0,0,,,,sin_observaciones,grupo_ausente
Random Forest,erratica,,,,0,0,,,,sin_observaciones,grupo_ausente
XGBoost,erratica,,,,0,0,,,,sin_observaciones,grupo_ausente
ARIMA (Optimizado ADF/AIC),erratica,,,,0,0,,,,sin_observaciones,grupo_ausente
Regresión Lineal,intermitente,0.3839376041576033,0.7200959963037873,0.28137812442667953,1669,63,0.7215731409220618,1204.3055721989213,78.25044937088077,definido,
Random Forest,intermitente,0.38517824894720165,0.7351643291720537,0.2509884858015077,1669,63,0.7215731409220618,1204.3055721989213,78.25044937088077,definido,
XGBoost,intermitente,0.37268374411868005,0.7336854220360965,0.2539989808650224,1669,63,0.7215731409220618,1204.3055721989213,78.25044937088077,definido,
ARIMA (Optimizado ADF/AIC),intermitente,0.4172239866769981,0.780852191611247,0.15499883440098094,1669,63,0.7215731409220618,1204.3055721989213,78.25044937088077,definido,
Regresión Lineal,lumpy,0.4954607017103823,0.7734939830241279,0.2744549323653642,104,5,0.8246116863905323,85.75961538461536,75.0,definido,
Random Forest,lumpy,0.45887317454446175,0.7318127377438055,0.3505429380120987,104,5,0.8246116863905323,85.75961538461536,75.0,definido,
XGBoost,lumpy,0.4646439377146845,0.7685796629150943,0.2836450077098225,104,5,0.8246116863905323,85.75961538461536,75.0,definido,
ARIMA (Optimizado ADF/AIC),lumpy,0.5414964021753925,0.7703099693757308,0.2804159112552057,104,5,0.8246116863905323,85.75961538461536,75.0,definido,
Regresión Lineal,positivas_insuficientes,0.0681175827916836,0.2249204981970118,-0.01907284348844973,615,23,0.04964240861920815,30.530081300813013,98.04878048780488,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
Random Forest,positivas_insuficientes,0.053668852155022394,0.22289607747107593,-0.0008108537418580752,615,23,0.04964240861920815,30.530081300813013,98.04878048780488,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
XGBoost,positivas_insuficientes,0.06411101631517332,0.22168527820531542,0.010032672871705506,615,23,0.04964240861920815,30.530081300813013,98.04878048780488,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
ARIMA (Optimizado ADF/AIC),positivas_insuficientes,0.04433523756955469,0.2233727611765038,-0.005096082632649601,615,23,0.04964240861920815,30.530081300813013,98.04878048780488,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
Regresión Lineal,sin_demanda_positiva,0.0343127891799368,0.10470646773101011,-0.1319100413018619,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
Random Forest,sin_demanda_positiva,0.031483167724155416,0.10674419191297445,-0.17639562961364819,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
XGBoost,sin_demanda_positiva,0.03772027498078451,0.10160795217110942,-0.06590939941683116,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
ARIMA (Optimizado ADF/AIC),sin_demanda_positiva,0.007802095513331585,0.09872519411988001,-0.006284741511309644,1026,37,0.009685791259608846,9.937621832358676,99.31773879142301,definido,varianza_menor_que_global;porcentaje_ceros_mayor_que_global
