sucursal,producto,semanas,semanas_train,semanas_test,estado,motivo,orden,aic
1,AMOXICILINA 500MG,103,82.0,20.0,modelada,,"(0, 0, 0)",-125.65120591326075
1,AZITROMICINA 500MG,121,104.0,16.0,modelada,,"(0, 0, 0)",229.76617844597843
1,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
1,DIMENHIDRINATO 50MG,134,104.0,29.0,modelada,,"(0, 0, 0)",-18.31165456407735
1,ENALAPRIL 10MG,134,104.0,29.0,modelada,,"(1, 0, 1)",216.7479101288314
1,IBUPROFENO TABX800,133,104.0,28.0,modelada,,"(0, 0, 0)",-2208.6955095894496
1,LOPERAMIDA 2MG,130,101.0,28.0,modelada,,"(0, 0, 0)",-176.50657161772608
1,LORATADINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
1,LOSARTAN 50MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
1,METFORMINA 850MG,125,101.0,23.0,modelada,,"(2, 0, 3)",193.3333257742097
1,NAPROXENO TABX550MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
1,OMEPRAZOL 20MG,15,,,descartada,menos_de_20_semanas,,
1,PARACETAMOL 500MG,135,104.0,30.0,modelada,,"(2, 1, 2)",114.81229868799988
1,VITAMINA C+ZINC+D3,135,104.0,30.0,modelada,,"(0, 0, 0)",341.4549176454831
2,AMOXICILINA 500MG,37,18.0,18.0,modelada,,"(0, 0, 0)",55.08178719861492
2,AZITROMICINA 500MG,135,104.0,30.0,modelada,,"(0, 0, 0)",-184.88227696194693
2,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
2,DIMENHIDRINATO 50MG,131,100.0,30.0,modelada,,"(0, 0, 0)",-2123.5918361436934
2,ENALAPRIL 10MG,134,104.0,29.0,modelada,,"(3, 1, 2)",171.3181086980777
2,IBUPROFENO TABX800,135,104.0,30.0,modelada,,"(0, 0, 0)",-184.88227696194696
2,LOPERAMIDA 2MG,27,0.0,27.0,descartada,menos_de_10_semanas_train,,
2,LORATADINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
2,LOSARTAN 50MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
2,METFORMINA 850MG,130,104.0,25.0,modelada,,"(0, 0, 1)",172.59634592988797
2,NAPROXENO TABX550MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
2,OMEPRAZOL 20MG,17,,,descartada,menos_de_20_semanas,,
2,PARACETAMOL 500MG,132,104.0,27.0,modelada,,"(3, 1, 3)",62.810953007545926
2,VITAMINA C+ZINC+D3,133,104.0,28.0,modelada,,"(3, 0, 2)",378.4518617040145
3,AMOXICILINA 500MG,76,69.0,6.0,modelada,,"(0, 2, 2)",236.53554792382067
3,AZITROMICINA 500MG,127,104.0,22.0,modelada,,"(0, 0, 0)",-2208.6955095894496
3,CETIRIZINA 10MG,97,97.0,0.0,descartada,menos_de_2_semanas_test,,
3,DIMENHIDRINATO 50MG,134,104.0,29.0,modelada,,"(0, 0, 2)",-175.37069640627632
3,ENALAPRIL 10MG,133,102.0,30.0,modelada,,"(0, 0, 0)",46.05512128899504
3,IBUPROFENO TABX800,135,104.0,30.0,modelada,,"(0, 0, 0)",-2208.6955095894496
3,LOPERAMIDA 2MG,131,102.0,28.0,modelada,,"(0, 0, 0)",-2166.1436728665767
3,LORATADINA 10MG,107,104.0,2.0,modelada,,"(0, 0, 0)",-2208.6955095894496
3,LOSARTAN 50MG,108,104.0,3.0,modelada,,"(3, 0, 2)",156.8949623197035
3,METFORMINA 850MG,128,103.0,24.0,modelada,,"(1, 0, 1)",267.61370591314426
