sucursal,producto,semana,cantidad
1,AMOXICILINA 500MG,2026-01-04,0.0
1,AZITROMICINA 500MG,2026-01-04,0.0
1,DIMENHIDRINATO 50MG,2026-01-04,0.0
1,ENALAPRIL 10MG,2026-01-04,0.0
1,IBUPROFENO TABX800,2026-01-04,0.0
1,LOPERAMIDA 2MG,2026-01-04,0.0
1,METFORMINA 850MG,2026-01-04,0.0
1,PARACETAMOL 500MG,2026-01-04,0.0
1,VITAMINA C+ZINC+D3,2026-01-04,0.0
2,AMOXICILINA 500MG,2026-01-04,0.0
2,AZITROMICINA 500MG,2026-01-04,0.0
2,DIMENHIDRINATO 50MG,2026-01-04,0.0
2,ENALAPRIL 10MG,2026-01-04,1.0
2,IBUPROFENO TABX800,2026-01-04,0.0
2,METFORMINA 850MG,2026-01-04,0.0
2,PARACETAMOL 500MG,2026-01-04,0.0
2,VITAMINA C+ZINC+D3,2026-01-04,1.0
3,AMOXICILINA 500MG,2026-01-04,3.0
3,AZITROMICINA 500MG,2026-01-04,0.0
3,DIMENHIDRINATO 50MG,2026-01-04,0.0
3,ENALAPRIL 10MG,2026-01-04,0.0
3,IBUPROFENO TABX800,2026-01-04,0.0
3,LOPERAMIDA 2MG,2026-01-04,0.0
3,LORATADINA 10MG,2026-01-04,0.0
3,LOSARTAN 50MG,2026-01-04,0.0
3,METFORMINA 850MG,2026-01-04,0.0
3,PARACETAMOL 500MG,2026-01-04,0.0
3,VITAMINA C+ZINC+D3,2026-01-04,2.0
4,AMOXICILINA 500MG,2026-01-04,0.0
4,AZITROMICINA 500MG,2026-01-04,0.0
4,DIMENHIDRINATO 50MG,2026-01-04,0.0
4,ENALAPRIL 10MG,2026-01-04,0.0
4,IBUPROFENO TABX800,2026-01-04,0.0
4,LOPERAMIDA 2MG,2026-01-04,0.0
4,METFORMINA 850MG,2026-01-04,0.0
4,PARACETAMOL 500MG,2026-01-04,0.0
4,VITAMINA C+ZINC+D3,2026-01-04,0.0
5,AMOXICILINA 500MG,2026-01-04,0.0
5,AZITROMICINA 500MG,2026-01-04,0.0
5,DIMENHIDRINATO 50MG,2026-01-04,0.0
5,ENALAPRIL 10MG,2026-01-04,0.0
5,IBUPROFENO TABX800,2026-01-04,0.0
5,METFORMINA 850MG,2026-01-04,0.0
5,PARACETAMOL 500MG,2026-01-04,0.0
5,VITAMINA C+ZINC+D3,2026-01-04,1.0
6,AMOXICILINA 500MG,2026-01-04,0.0
6,AZITROMICINA 500MG,2026-01-04,0.0
6,DIMENHIDRINATO 50MG,2026-01-04,0.0
6,ENALAPRIL 10MG,2026-01-04,0.0
6,IBUPROFENO TABX800,2026-01-04,0.0
6,LOPERAMIDA 2MG,2026-01-04,0.0
6,METFORMINA 850MG,2026-01-04,0.0
